  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.677238                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-8.4000e-01   -3.4194e-04   2.4565e+03
-8.3000e-01   -3.3351e-04   2.4887e+03
-8.2000e-01   -3.2510e-04   2.5223e+03
-8.1000e-01   -3.1671e-04   2.5575e+03
-8.0000e-01   -3.0836e-04   2.5944e+03
-7.9000e-01   -3.0003e-04   2.6331e+03
-7.8000e-01   -2.9179e-04   2.6731e+03
-7.7000e-01   -2.8351e-04   2.7159e+03
-7.6000e-01   -2.7529e-04   2.7608e+03
-7.5000e-01   -2.6706e-04   2.8083e+03
-7.4000e-01   -2.5888e-04   2.8585e+03
-7.3000e-01   -2.5073e-04   2.9116e+03
-7.2000e-01   -2.4266e-04   2.9671e+03
-7.1000e-01   -2.3458e-04   3.0267e+03
-7.0000e-01   -2.2652e-04   3.0902e+03
-6.9000e-01   -2.1851e-04   3.1577e+03
-6.8000e-01   -2.1053e-04   3.2299e+03
-6.7000e-01   -2.0260e-04   3.3070e+03
-6.6000e-01   -1.9471e-04   3.3897e+03
-6.5000e-01   -1.8693e-04   3.4773e+03
-6.4000e-01   -1.7914e-04   3.5726e+03
-6.3000e-01   -1.7141e-04   3.6755e+03
-6.2000e-01   -1.6372e-04   3.7869e+03
-6.1000e-01   -1.5611e-04   3.9075e+03
-6.0000e-01   -1.4861e-04   4.0374e+03
-5.9000e-01   -1.4113e-04   4.1805e+03
-5.8000e-01   -1.3373e-04   4.3371e+03
-5.7000e-01   -1.2642e-04   4.5088e+03
-5.6000e-01   -1.1924e-04   4.6965e+03
-5.5000e-01   -1.1212e-04   4.9053e+03
-5.4000e-01   -1.0510e-04   5.1379e+03
-5.3000e-01   -9.8116e-05   5.4018e+03
-5.2000e-01   -9.1342e-05   5.6929e+03
-5.1000e-01   -8.4752e-05   6.0176e+03
-5.0000e-01   -7.8259e-05   6.3890e+03
-4.9000e-01   -7.1930e-05   6.8122e+03
-4.8000e-01   -6.5783e-05   7.2967e+03
-4.7000e-01   -5.9863e-05   7.8513e+03
-4.6000e-01   -5.4116e-05   8.5003e+03
-4.5000e-01   -4.8581e-05   9.2629e+03
-4.4000e-01   -4.3294e-05   1.0163e+04
-4.3000e-01   -3.8300e-05   1.1227e+04
-4.2000e-01   -3.3545e-05   1.2520e+04
-4.1000e-01   -2.9089e-05   1.4095e+04
-4.0000e-01   -2.4946e-05   1.6035e+04
-3.9000e-01   -2.1160e-05   1.8431e+04
-3.8000e-01   -1.7684e-05   2.1488e+04
-3.7000e-01   -1.4561e-05   2.5411e+04
-3.6000e-01   -1.1773e-05   3.0578e+04
-3.5000e-01   -9.3487e-06   3.7439e+04
-3.4000e-01   -7.2306e-06   4.7022e+04
-3.3000e-01   -5.4090e-06   6.1009e+04
-3.2000e-01   -3.8663e-06   8.2767e+04
-3.1000e-01   -2.5640e-06   1.2091e+05
-3.0000e-01   -1.4787e-06   2.0288e+05
-2.9000e-01   -5.5823e-07   5.1950e+05
-2.8000e-01   2.1812e-07   -1.2837e+06
-2.7000e-01   8.7931e-07   -3.0706e+05
-2.6000e-01   1.4465e-06   -1.7975e+05
-2.5000e-01   1.9421e-06   -1.2872e+05
-2.4000e-01   2.3872e-06   -1.0053e+05
-2.3000e-01   2.7897e-06   -8.2447e+04
-2.2000e-01   3.1597e-06   -6.9626e+04
-2.1000e-01   3.5049e-06   -5.9916e+04
-2.0000e-01   3.8285e-06   -5.2240e+04
-1.9000e-01   4.1396e-06   -4.5899e+04
-1.8000e-01   4.4391e-06   -4.0549e+04
-1.7000e-01   4.7293e-06   -3.5946e+04
-1.6000e-01   5.0112e-06   -3.1928e+04
-1.5000e-01   5.2839e-06   -2.8388e+04
-1.4000e-01   5.5539e-06   -2.5207e+04
-1.3000e-01   5.8185e-06   -2.2342e+04
-1.2000e-01   6.0788e-06   -1.9741e+04
-1.1000e-01   6.3340e-06   -1.7367e+04
-1.0000e-01   6.5857e-06   -1.5184e+04
-9.0000e-02   6.8308e-06   -1.3176e+04
-8.0000e-02   7.0738e-06   -1.1309e+04
-7.0000e-02   7.3128e-06   -9.5722e+03
-6.0000e-02   7.5483e-06   -7.9488e+03
-5.0000e-02   7.7792e-06   -6.4274e+03
-4.0000e-02   8.0047e-06   -4.9971e+03
-3.0000e-02   8.2285e-06   -3.6459e+03
-2.0000e-02   8.4483e-06   -2.3673e+03
-1.0000e-02   8.6645e-06   -1.1541e+03
0.0000e+00   8.8769e-06   0.0000e+00
0.0000e+00   8.8362e-06   0.0000e+00
1.0000e-02   9.0437e-06   1.1057e+03
2.0000e-02   9.2494e-06   2.1623e+03
3.0000e-02   9.4511e-06   3.1742e+03
4.0000e-02   9.6493e-06   4.1454e+03
5.0000e-02   9.8427e-06   5.0799e+03
6.0000e-02   1.0034e-05   5.9796e+03
7.0000e-02   1.0222e-05   6.8482e+03
8.0000e-02   1.0405e-05   7.6889e+03
9.0000e-02   1.0586e-05   8.5018e+03
1.0000e-01   1.0764e-05   9.2906e+03
1.1000e-01   1.0938e-05   1.0056e+04
1.2000e-01   1.1109e-05   1.0802e+04
1.3000e-01   1.1277e-05   1.1527e+04
1.4000e-01   1.1443e-05   1.2234e+04
1.5000e-01   1.1604e-05   1.2927e+04
1.6000e-01   1.1762e-05   1.3603e+04
1.7000e-01   1.1919e-05   1.4262e+04
1.8000e-01   1.2074e-05   1.4908e+04
1.9000e-01   1.2226e-05   1.5541e+04
