  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.650286                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
3.4000e-01   1.2981e-05   2.6193e+04
3.6000e-01   1.3184e-05   2.7305e+04
3.8000e-01   1.3382e-05   2.8396e+04
4.0000e-01   1.3573e-05   2.9471e+04
4.2000e-01   1.3755e-05   3.0533e+04
4.4000e-01   1.3933e-05   3.1581e+04
4.6000e-01   1.4103e-05   3.2618e+04
4.8000e-01   1.4266e-05   3.3646e+04
5.0000e-01   1.4425e-05   3.4663e+04
5.2000e-01   1.4577e-05   3.5673e+04
5.4000e-01   1.4725e-05   3.6673e+04
5.6000e-01   1.4868e-05   3.7666e+04
5.8000e-01   1.5005e-05   3.8654e+04
6.0000e-01   1.5138e-05   3.9635e+04
6.2000e-01   1.5266e-05   4.0613e+04
6.4000e-01   1.5390e-05   4.1587e+04
6.6000e-01   1.5510e-05   4.2555e+04
6.8000e-01   1.5626e-05   4.3518e+04
7.0000e-01   1.5737e-05   4.4481e+04
7.2000e-01   1.5846e-05   4.5438e+04
7.4000e-01   1.5950e-05   4.6394e+04
7.6000e-01   1.6053e-05   4.7344e+04
7.8000e-01   1.6151e-05   4.8294e+04
8.0000e-01   1.6247e-05   4.9241e+04
8.2000e-01   1.6337e-05   5.0193e+04
8.4000e-01   1.6428e-05   5.1133e+04
8.6000e-01   1.6514e-05   5.2078e+04
8.8000e-01   1.6598e-05   5.3017e+04
9.0000e-01   1.6680e-05   5.3957e+04
9.2000e-01   1.6759e-05   5.4895e+04
9.4000e-01   1.6836e-05   5.5833e+04
9.6000e-01   1.6911e-05   5.6769e+04
9.8000e-01   1.6984e-05   5.7701e+04
1.0000e+00   1.7054e-05   5.8636e+04
1.0000e+00   1.7052e-05   5.8645e+04
9.8000e-01   1.6975e-05   5.7731e+04
9.6000e-01   1.6896e-05   5.6820e+04
9.4000e-01   1.6814e-05   5.5905e+04
9.2000e-01   1.6731e-05   5.4987e+04
9.0000e-01   1.6646e-05   5.4069e+04
8.8000e-01   1.6558e-05   5.3147e+04
8.6000e-01   1.6469e-05   5.2218e+04
8.4000e-01   1.6376e-05   5.1296e+04
8.2000e-01   1.6281e-05   5.0367e+04
8.0000e-01   1.6185e-05   4.9427e+04
7.8000e-01   1.6085e-05   4.8494e+04
7.6000e-01   1.5979e-05   4.7562e+04
7.4000e-01   1.5872e-05   4.6623e+04
7.2000e-01   1.5762e-05   4.5679e+04
7.0000e-01   1.5649e-05   4.4732e+04
6.8000e-01   1.5532e-05   4.3779e+04
6.6000e-01   1.5412e-05   4.2823e+04
6.4000e-01   1.5288e-05   4.1863e+04
6.2000e-01   1.5160e-05   4.0897e+04
6.0000e-01   1.5028e-05   3.9925e+04
5.8000e-01   1.4891e-05   3.8949e+04
5.6000e-01   1.4750e-05   3.7966e+04
5.4000e-01   1.4604e-05   3.6976e+04
5.2000e-01   1.4454e-05   3.5976e+04
5.0000e-01   1.4298e-05   3.4969e+04
4.8000e-01   1.4137e-05   3.3954e+04
4.6000e-01   1.3970e-05   3.2927e+04
4.4000e-01   1.3798e-05   3.1888e+04
4.2000e-01   1.3620e-05   3.0838e+04
4.0000e-01   1.3435e-05   2.9773e+04
3.8000e-01   1.3243e-05   2.8695e+04
3.6000e-01   1.3045e-05   2.7598e+04
3.4000e-01   1.2841e-05   2.6479e+04
3.2000e-01   1.2626e-05   2.5345e+04
