  Measurement Number     Measurement type
                   5           CVSweepNew

      Measurement ID             SeriesID
       739662.655208                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3                 1000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
7.3390e-01 1.9541e+05 -2.0449e+03 6.9884e-03 1.0000e+03
7.4476e-01 1.9881e+05 -7.5445e+02 6.9864e-03 1.0000e+03
7.5464e-01 2.0158e+05 -7.2056e+02 6.9900e-03 1.0000e+03
7.6476e-01 2.0482e+05 -1.3168e+03 6.9880e-03 1.0000e+03
7.7474e-01 2.0754e+05 -3.2245e+02 6.9896e-03 1.0000e+03
7.8463e-01 2.1030e+05 -1.9984e+02 6.9890e-03 1.0000e+03
7.9442e-01 2.1375e+05 2.1293e+02 6.9885e-03 1.0000e+03
8.0466e-01 2.1758e+05 -6.8858e+02 6.9872e-03 1.0000e+03
8.1438e-01 2.1976e+05 1.0946e+03 6.9873e-03 1.0000e+03
8.2439e-01 2.2388e+05 -1.3156e+03 6.9885e-03 1.0000e+03
8.3463e-01 2.2743e+05 -1.1520e+03 6.9892e-03 1.0000e+03
8.4450e-01 2.3001e+05 -1.6927e+03 6.9887e-03 1.0000e+03
8.5443e-01 2.3388e+05 -5.0581e+02 6.9894e-03 1.0000e+03
8.6450e-01 2.3697e+05 -2.8401e+02 6.9888e-03 1.0000e+03
8.7442e-01 2.3876e+05 -5.9806e+02 6.9888e-03 1.0000e+03
8.8421e-01 2.4225e+05 4.0627e+02 6.9889e-03 1.0000e+03
8.9446e-01 2.4535e+05 1.6731e+02 6.9891e-03 1.0000e+03
9.0439e-01 2.4946e+05 -3.5959e+02 6.9880e-03 1.0000e+03
9.1427e-01 2.5285e+05 -1.6896e+03 6.9887e-03 1.0000e+03
9.2427e-01 2.5594e+05 8.0987e+02 6.9898e-03 1.0000e+03
9.3420e-01 2.6008e+05 -1.2119e+03 6.9883e-03 1.0000e+03
9.4409e-01 2.6360e+05 5.3424e+02 6.9894e-03 1.0000e+03
9.5399e-01 2.6715e+05 -1.6794e+03 6.9892e-03 1.0000e+03
9.6426e-01 2.6876e+05 9.2302e+02 6.9888e-03 1.0000e+03
9.7410e-01 2.7153e+05 -5.4010e+02 6.9897e-03 1.0000e+03
9.8402e-01 2.7697e+05 -3.6492e+02 6.9896e-03 1.0000e+03
9.9513e-01 2.8199e+05 -1.4549e+03 6.9879e-03 1.0000e+03
1.0049e+00 2.8408e+05 1.7457e+02 6.9887e-03 1.0000e+03
1.0050e+00 2.8302e+05 1.7046e+03 6.9890e-03 1.0000e+03
