  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.653595                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3          10000000000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
7.3435e-01 1.8678e+05 -3.5807e+04 6.9707e-03 1.0000e+10
7.4562e-01 1.8999e+05 -4.6214e+04 6.9693e-03 1.0000e+10
7.5533e-01 1.9252e+05 -3.7534e+04 6.9692e-03 1.0000e+10
7.6554e-01 1.9679e+05 -4.5722e+04 6.9695e-03 1.0000e+10
7.7545e-01 1.9967e+05 -4.6521e+04 6.9689e-03 1.0000e+10
7.8526e-01 2.0451e+05 -4.5709e+04 6.9686e-03 1.0000e+10
7.9535e-01 2.0057e+05 -4.1234e+04 6.9698e-03 1.0000e+10
8.0534e-01 2.0691e+05 -5.1251e+04 6.9688e-03 1.0000e+10
8.1526e-01 2.1127e+05 -4.9704e+04 6.9703e-03 1.0000e+10
8.2520e-01 2.2040e+05 -5.6688e+04 6.9700e-03 1.0000e+10
8.3542e-01 2.1643e+05 -5.6560e+04 6.9685e-03 1.0000e+10
8.4523e-01 2.2115e+05 -5.0391e+04 6.9689e-03 1.0000e+10
8.5521e-01 2.2287e+05 -6.1932e+04 6.9683e-03 1.0000e+10
8.6517e-01 2.2500e+05 -5.0682e+04 6.9689e-03 1.0000e+10
8.7533e-01 2.2746e+05 -5.9389e+04 6.9700e-03 1.0000e+10
8.8506e-01 2.3142e+05 -5.0237e+04 6.9709e-03 1.0000e+10
8.9537e-01 2.3305e+05 -6.4682e+04 6.9703e-03 1.0000e+10
9.0498e-01 2.4066e+05 -5.4960e+04 6.9709e-03 1.0000e+10
9.1518e-01 2.3971e+05 -6.5214e+04 6.9685e-03 1.0000e+10
9.2493e-01 2.4716e+05 -5.7535e+04 6.9691e-03 1.0000e+10
9.3509e-01 2.4644e+05 -6.6906e+04 6.9701e-03 1.0000e+10
9.4480e-01 2.5785e+05 -6.4220e+04 6.9703e-03 1.0000e+10
9.5490e-01 2.6057e+05 -7.1203e+04 6.9691e-03 1.0000e+10
9.6504e-01 2.5762e+05 -6.0436e+04 6.9702e-03 1.0000e+10
9.7485e-01 2.5770e+05 -7.4871e+04 6.9695e-03 1.0000e+10
9.8487e-01 2.6406e+05 -5.8717e+04 6.9701e-03 1.0000e+10
9.9569e-01 2.5709e+05 -6.7190e+04 6.9703e-03 1.0000e+10
1.0058e+00 2.6605e+05 -7.4473e+04 6.9693e-03 1.0000e+10
1.0057e+00 2.7688e+05 -7.8765e+04 6.9699e-03 1.0000e+10
9.9602e-01 2.6441e+05 -5.9336e+04 6.9696e-03 1.0000e+10
9.8475e-01 2.6431e+05 -7.4521e+04 6.9693e-03 1.0000e+10
9.7498e-01 2.5772e+05 -6.2245e+04 6.9693e-03 1.0000e+10
9.6502e-01 2.6026e+05 -7.1842e+04 6.9701e-03 1.0000e+10
9.5486e-01 2.4689e+05 -5.6882e+04 6.9713e-03 1.0000e+10
9.4485e-01 2.5299e+05 -5.9941e+04 6.9707e-03 1.0000e+10
9.3509e-01 2.4843e+05 -5.6780e+04 6.9698e-03 1.0000e+10
9.2510e-01 2.5247e+05 -5.9883e+04 6.9679e-03 1.0000e+10
9.1478e-01 2.4002e+05 -5.5477e+04 6.9697e-03 1.0000e+10
9.0528e-01 2.4604e+05 -5.9974e+04 6.9696e-03 1.0000e+10
8.9501e-01 2.2845e+05 -5.0855e+04 6.9691e-03 1.0000e+10
8.8527e-01 2.2493e+05 -4.9635e+04 6.9710e-03 1.0000e+10
8.7517e-01 2.2610e+05 -5.0411e+04 6.9705e-03 1.0000e+10
8.6529e-01 2.2664e+05 -4.9533e+04 6.9698e-03 1.0000e+10
8.5515e-01 2.1965e+05 -5.2993e+04 6.9685e-03 1.0000e+10
8.4531e-01 2.1704e+05 -4.3648e+04 6.9683e-03 1.0000e+10
8.3557e-01 2.1490e+05 -5.0287e+04 6.9696e-03 1.0000e+10
8.2519e-01 2.2088e+05 -4.3365e+04 6.9711e-03 1.0000e+10
8.1516e-01 2.1080e+05 -5.1233e+04 6.9697e-03 1.0000e+10
8.0543e-01 2.0124e+05 -4.0679e+04 6.9705e-03 1.0000e+10
7.9541e-01 2.0095e+05 -4.4563e+04 6.9690e-03 1.0000e+10
7.8543e-01 2.0221e+05 -3.8431e+04 6.9692e-03 1.0000e+10
7.7550e-01 1.9191e+05 -4.7554e+04 6.9685e-03 1.0000e+10
7.6539e-01 1.9298e+05 -4.3052e+04 6.9691e-03 1.0000e+10
7.5556e-01 1.8828e+05 -4.3229e+04 6.9703e-03 1.0000e+10
7.4543e-01 1.8574e+05 -3.8708e+04 6.9698e-03 1.0000e+10
7.3484e-01 1.8246e+05 -4.2706e+04 6.9698e-03 1.0000e+10
7.2443e-01 1.7734e+05 -3.7765e+04 6.9696e-03 1.0000e+10
7.1490e-01 1.7696e+05 -3.9186e+04 6.9688e-03 1.0000e+10
7.0475e-01 1.8068e+05 -3.6455e+04 6.9686e-03 1.0000e+10
6.9473e-01 1.7421e+05 -3.5377e+04 6.9698e-03 1.0000e+10
6.8458e-01 1.7279e+05 -4.0130e+04 6.9698e-03 1.0000e+10
6.7482e-01 1.6826e+05 -3.5833e+04 6.9669e-03 1.0000e+10
6.6460e-01 1.6554e+05 -3.8469e+04 6.9690e-03 1.0000e+10
6.5498e-01 1.6121e+05 -3.1629e+04 6.9710e-03 1.0000e+10
6.4498e-01 1.6279e+05 -3.6995e+04 6.9685e-03 1.0000e+10
6.3492e-01 1.5532e+05 -3.3033e+04 6.9695e-03 1.0000e+10
6.2500e-01 1.5681e+05 -3.4151e+04 6.9678e-03 1.0000e+10
6.1482e-01 1.5290e+05 -2.8663e+04 6.9690e-03 1.0000e+10
6.0494e-01 1.4981e+05 -3.0342e+04 6.9680e-03 1.0000e+10
5.9496e-01 1.4938e+05 -2.7951e+04 6.9680e-03 1.0000e+10
5.8542e-01 1.4555e+05 -3.1095e+04 6.9686e-03 1.0000e+10
5.7520e-01 1.4363e+05 -2.7338e+04 6.9685e-03 1.0000e+10
5.6514e-01 1.4118e+05 -2.9071e+04 6.9682e-03 1.0000e+10
5.5511e-01 1.4003e+05 -2.4808e+04 6.9680e-03 1.0000e+10
5.4542e-01 1.3719e+05 -2.7384e+04 6.9681e-03 1.0000e+10
5.3521e-01 1.3229e+05 -2.3150e+04 6.9685e-03 1.0000e+10
5.2557e-01 1.2923e+05 -2.5937e+04 6.9686e-03 1.0000e+10
5.1539e-01 1.2800e+05 -2.3211e+04 6.9687e-03 1.0000e+10
5.0561e-01 1.2817e+05 -2.2998e+04 6.9682e-03 1.0000e+10
4.9448e-01 1.2456e+05 -1.9766e+04 6.9692e-03 1.0000e+10
4.8468e-01 1.2140e+05 -2.3456e+04 6.9665e-03 1.0000e+10
4.7468e-01 1.2202e+05 -1.8949e+04 6.9680e-03 1.0000e+10
4.6458e-01 1.1716e+05 -2.0838e+04 6.9680e-03 1.0000e+10
4.5050e-01 1.1667e+05 -1.9456e+04 6.9674e-03 1.0000e+10
4.4149e-01 1.1621e+05 -1.9958e+04 6.9682e-03 1.0000e+10
4.3186e-01 1.1224e+05 -2.0308e+04 6.9677e-03 1.0000e+10
4.2219e-01 1.0945e+05 -2.0408e+04 6.9673e-03 1.0000e+10
4.1226e-01 1.0824e+05 -1.7995e+04 6.9694e-03 1.0000e+10
4.0238e-01 1.0671e+05 -1.6986e+04 6.9685e-03 1.0000e+10
