f,A_in,A_out
100,25,300
10,26,297
5,26,291
2.5,26,310
25,25,331
200,22,303
250,21.5,287
300,20,270
350,18.5,254
400,17.5,238
50,25.3,333
20,25.8,329
1,26,307
500,15,209
