f,A_in,A_out
10,37,7200
5,38,6960
3,38,6880
1,38,6830
0.05,38,6740
0.01,37.6,6630
50,36.3,7360
100,34,7010
1000,8,1680
1100,7.9,1630
500,15.4,3350
60,36.2,7500
599,13.3,2940
699,11.6,2560
800,10,2240
901,8.9,1990
