  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.671741                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-8.4000e-01   -1.0895e-03   7.7098e+02
-8.3000e-01   -1.0766e-03   7.7095e+02
-8.2000e-01   -1.0637e-03   7.7088e+02
-8.1000e-01   -1.0508e-03   7.7083e+02
-8.0000e-01   -1.0379e-03   7.7080e+02
-7.9000e-01   -1.0249e-03   7.7078e+02
-7.8000e-01   -1.0121e-03   7.7065e+02
-7.7000e-01   -9.9927e-04   7.7056e+02
-7.6000e-01   -9.8637e-04   7.7050e+02
-7.5000e-01   -9.7343e-04   7.7047e+02
-7.4000e-01   -9.6050e-04   7.7043e+02
-7.3000e-01   -9.4757e-04   7.7039e+02
-7.2000e-01   -9.3473e-04   7.7027e+02
-7.1000e-01   -9.2180e-04   7.7024e+02
-7.0000e-01   -9.0885e-04   7.7021e+02
-6.9000e-01   -8.9591e-04   7.7017e+02
-6.8000e-01   -8.8296e-04   7.7014e+02
-6.7000e-01   -8.7002e-04   7.7010e+02
-6.6000e-01   -8.5706e-04   7.7007e+02
-6.5000e-01   -8.4421e-04   7.6995e+02
-6.4000e-01   -8.3125e-04   7.6992e+02
-6.3000e-01   -8.1830e-04   7.6989e+02
-6.2000e-01   -8.0534e-04   7.6987e+02
-6.1000e-01   -7.9237e-04   7.6984e+02
-6.0000e-01   -7.7950e-04   7.6972e+02
-5.9000e-01   -7.6654e-04   7.6969e+02
-5.8000e-01   -7.5356e-04   7.6968e+02
-5.7000e-01   -7.4059e-04   7.6966e+02
-5.6000e-01   -7.2770e-04   7.6954e+02
-5.5000e-01   -7.1473e-04   7.6952e+02
-5.4000e-01   -7.0174e-04   7.6952e+02
-5.3000e-01   -6.8876e-04   7.6949e+02
-5.2000e-01   -6.7577e-04   7.6949e+02
-5.1000e-01   -6.6289e-04   7.6936e+02
-5.0000e-01   -6.4989e-04   7.6936e+02
-4.9000e-01   -6.3690e-04   7.6935e+02
-4.8000e-01   -6.2391e-04   7.6934e+02
-4.7000e-01   -6.1101e-04   7.6922e+02
-4.6000e-01   -5.9803e-04   7.6919e+02
-4.5000e-01   -5.8503e-04   7.6919e+02
-4.4000e-01   -5.7203e-04   7.6919e+02
-4.3000e-01   -5.5912e-04   7.6906e+02
-4.2000e-01   -5.4612e-04   7.6906e+02
-4.1000e-01   -5.3310e-04   7.6908e+02
-4.0000e-01   -5.2010e-04   7.6908e+02
-3.9000e-01   -5.0718e-04   7.6895e+02
-3.8000e-01   -4.9417e-04   7.6897e+02
-3.7000e-01   -4.8116e-04   7.6898e+02
-3.6000e-01   -4.6814e-04   7.6900e+02
-3.5000e-01   -4.5521e-04   7.6887e+02
-3.4000e-01   -4.4220e-04   7.6888e+02
-3.3000e-01   -4.2917e-04   7.6893e+02
-3.2000e-01   -4.1616e-04   7.6894e+02
-3.1000e-01   -4.0313e-04   7.6899e+02
-3.0000e-01   -3.9021e-04   7.6882e+02
-2.9000e-01   -3.7718e-04   7.6886e+02
-2.8000e-01   -3.6416e-04   7.6889e+02
-2.7000e-01   -3.5114e-04   7.6893e+02
-2.6000e-01   -3.3811e-04   7.6898e+02
-2.5000e-01   -3.2519e-04   7.6878e+02
-2.4000e-01   -3.1216e-04   7.6884e+02
-2.3000e-01   -2.9914e-04   7.6888e+02
-2.2000e-01   -2.8611e-04   7.6894e+02
-2.1000e-01   -2.7309e-04   7.6898e+02
-2.0000e-01   -2.6016e-04   7.6876e+02
-1.9000e-01   -2.4713e-04   7.6883e+02
-1.8000e-01   -2.3410e-04   7.6889e+02
-1.7000e-01   -2.2108e-04   7.6896e+02
-1.6000e-01   -2.0805e-04   7.6906e+02
-1.5000e-01   -1.9514e-04   7.6868e+02
-1.4000e-01   -1.8211e-04   7.6875e+02
-1.3000e-01   -1.6909e-04   7.6883e+02
-1.2000e-01   -1.5606e-04   7.6893e+02
-1.1000e-01   -1.4305e-04   7.6899e+02
-1.0000e-01   -1.3002e-04   7.6914e+02
-9.0000e-02   -1.1709e-04   7.6865e+02
-8.0000e-02   -1.0406e-04   7.6881e+02
-7.0000e-02   -9.0947e-05   7.6968e+02
-6.0000e-02   -7.7927e-05   7.6995e+02
-5.0000e-02   -6.4902e-05   7.7039e+02
-4.0000e-02   -5.1973e-05   7.6963e+02
-3.0000e-02   -3.8947e-05   7.7027e+02
-2.0000e-02   -2.5926e-05   7.7144e+02
-1.0000e-02   -1.2900e-05   7.7519e+02
0.0000e+00   2.8912e-07   0.0000e+00
0.0000e+00   2.8782e-07   0.0000e+00
1.0000e-02   1.3055e-05   7.6601e+02
2.0000e-02   2.6079e-05   7.6689e+02
3.0000e-02   3.9105e-05   7.6717e+02
4.0000e-02   5.2128e-05   7.6734e+02
5.0000e-02   6.5062e-05   7.6850e+02
6.0000e-02   7.8082e-05   7.6842e+02
7.0000e-02   9.1118e-05   7.6823e+02
8.0000e-02   1.0404e-04   7.6892e+02
9.0000e-02   1.1697e-04   7.6943e+02
1.0000e-01   1.2999e-04   7.6931e+02
