Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
2500,0.002,440,CH1,V,500,-1620,s,0.5,Y,0,1000,TDS2014C,C014547,FV:v24.18 rus,-0.88,20
,,,,,,,,,,,,,,,-0.878,0
,,,,,,,,,,,,,,,-0.876,20
,,,,,,,,,,,,,,,-0.874,0
,,,,,,,,,,,,,,,-0.872,20
,,,,,,,,,,,,,,,-0.87,0
,,,,,,,,,,,,,,,-0.868,0
,,,,,,,,,,,,,,,-0.866,0
,,,,,,,,,,,,,,,-0.864,20
,,,,,,,,,,,,,,,-0.862,0
,,,,,,,,,,,,,,,-0.86,0
,,,,,,,,,,,,,,,-0.858,20
,,,,,,,,,,,,,,,-0.856,0
,,,,,,,,,,,,,,,-0.854,0
,,,,,,,,,,,,,,,-0.852,0
,,,,,,,,,,,,,,,-0.85,0
,,,,,,,,,,,,,,,-0.848,0
,,,,,,,,,,,,,,,-0.846,20
,,,,,,,,,,,,,,,-0.844,0
,,,,,,,,,,,,,,,-0.842,0
,,,,,,,,,,,,,,,-0.84,0
,,,,,,,,,,,,,,,-0.838,0
,,,,,,,,,,,,,,,-0.836,20
,,,,,,,,,,,,,,,-0.834,0
,,,,,,,,,,,,,,,-0.832,0
,,,,,,,,,,,,,,,-0.83,20
,,,,,,,,,,,,,,,-0.828,0
,,,,,,,,,,,,,,,-0.826,0
,,,,,,,,,,,,,,,-0.824,20
,,,,,,,,,,,,,,,-0.822,20
,,,,,,,,,,,,,,,-0.82,20
,,,,,,,,,,,,,,,-0.818,-20
,,,,,,,,,,,,,,,-0.816,20
,,,,,,,,,,,,,,,-0.814,20
,,,,,,,,,,,,,,,-0.812,0
,,,,,,,,,,,,,,,-0.81,0
,,,,,,,,,,,,,,,-0.808,0
,,,,,,,,,,,,,,,-0.806,0
,,,,,,,,,,,,,,,-0.804,20
,,,,,,,,,,,,,,,-0.802,0
,,,,,,,,,,,,,,,-0.8,20
,,,,,,,,,,,,,,,-0.798,0
,,,,,,,,,,,,,,,-0.796,20
,,,,,,,,,,,,,,,-0.794,20
,,,,,,,,,,,,,,,-0.792,0
,,,,,,,,,,,,,,,-0.79,0
,,,,,,,,,,,,,,,-0.788,20
,,,,,,,,,,,,,,,-0.786,0
,,,,,,,,,,,,,,,-0.784,0
,,,,,,,,,,,,,,,-0.782,0
,,,,,,,,,,,,,,,-0.78,0
,,,,,,,,,,,,,,,-0.778,20
,,,,,,,,,,,,,,,-0.776,0
,,,,,,,,,,,,,,,-0.774,0
,,,,,,,,,,,,,,,-0.772,20
,,,,,,,,,,,,,,,-0.77,20
,,,,,,,,,,,,,,,-0.768,20
,,,,,,,,,,,,,,,-0.766,0
,,,,,,,,,,,,,,,-0.764,20
,,,,,,,,,,,,,,,-0.762,20
,,,,,,,,,,,,,,,-0.76,20
,,,,,,,,,,,,,,,-0.758,0
,,,,,,,,,,,,,,,-0.756,0
,,,,,,,,,,,,,,,-0.754,0
,,,,,,,,,,,,,,,-0.752,0
,,,,,,,,,,,,,,,-0.75,0
,,,,,,,,,,,,,,,-0.748,0
,,,,,,,,,,,,,,,-0.746,0
,,,,,,,,,,,,,,,-0.744,20
,,,,,,,,,,,,,,,-0.742,20
,,,,,,,,,,,,,,,-0.74,20
,,,,,,,,,,,,,,,-0.738,20
,,,,,,,,,,,,,,,-0.736,0
,,,,,,,,,,,,,,,-0.734,20
,,,,,,,,,,,,,,,-0.732,0
,,,,,,,,,,,,,,,-0.73,0
,,,,,,,,,,,,,,,-0.728,20
,,,,,,,,,,,,,,,-0.726,20
,,,,,,,,,,,,,,,-0.724,20
,,,,,,,,,,,,,,,-0.722,0
,,,,,,,,,,,,,,,-0.72,20
,,,,,,,,,,,,,,,-0.718,0
,,,,,,,,,,,,,,,-0.716,20
,,,,,,,,,,,,,,,-0.714,0
,,,,,,,,,,,,,,,-0.712,0
,,,,,,,,,,,,,,,-0.71,20
,,,,,,,,,,,,,,,-0.708,0
,,,,,,,,,,,,,,,-0.706,20
,,,,,,,,,,,,,,,-0.704,0
,,,,,,,,,,,,,,,-0.702,20
,,,,,,,,,,,,,,,-0.7,20
,,,,,,,,,,,,,,,-0.698,20
,,,,,,,,,,,,,,,-0.696,0
,,,,,,,,,,,,,,,-0.694,0
,,,,,,,,,,,,,,,-0.692,20
,,,,,,,,,,,,,,,-0.69,0
,,,,,,,,,,,,,,,-0.688,0
,,,,,,,,,,,,,,,-0.686,20
,,,,,,,,,,,,,,,-0.684,0
,,,,,,,,,,,,,,,-0.682,0
,,,,,,,,,,,,,,,-0.68,0
,,,,,,,,,,,,,,,-0.678,0
,,,,,,,,,,,,,,,-0.676,20
,,,,,,,,,,,,,,,-0.674,20
,,,,,,,,,,,,,,,-0.672,20
,,,,,,,,,,,,,,,-0.67,20
,,,,,,,,,,,,,,,-0.668,20
,,,,,,,,,,,,,,,-0.666,0
,,,,,,,,,,,,,,,-0.664,20
,,,,,,,,,,,,,,,-0.662,0
,,,,,,,,,,,,,,,-0.66,20
,,,,,,,,,,,,,,,-0.658,0
,,,,,,,,,,,,,,,-0.656,0
,,,,,,,,,,,,,,,-0.654,20
,,,,,,,,,,,,,,,-0.652,20
,,,,,,,,,,,,,,,-0.65,20
,,,,,,,,,,,,,,,-0.648,0
,,,,,,,,,,,,,,,-0.646,20
,,,,,,,,,,,,,,,-0.644,20
,,,,,,,,,,,,,,,-0.642,20
,,,,,,,,,,,,,,,-0.64,0
,,,,,,,,,,,,,,,-0.638,0
,,,,,,,,,,,,,,,-0.636,20
,,,,,,,,,,,,,,,-0.634,20
,,,,,,,,,,,,,,,-0.632,20
,,,,,,,,,,,,,,,-0.63,0
,,,,,,,,,,,,,,,-0.628,20
,,,,,,,,,,,,,,,-0.626,0
,,,,,,,,,,,,,,,-0.624,0
,,,,,,,,,,,,,,,-0.622,20
,,,,,,,,,,,,,,,-0.62,20
,,,,,,,,,,,,,,,-0.618,0
,,,,,,,,,,,,,,,-0.616,20
,,,,,,,,,,,,,,,-0.614,20
,,,,,,,,,,,,,,,-0.612,0
,,,,,,,,,,,,,,,-0.61,0
,,,,,,,,,,,,,,,-0.608,0
,,,,,,,,,,,,,,,-0.606,20
,,,,,,,,,,,,,,,-0.604,0
,,,,,,,,,,,,,,,-0.602,20
,,,,,,,,,,,,,,,-0.6,20
,,,,,,,,,,,,,,,-0.598,0
,,,,,,,,,,,,,,,-0.596,0
,,,,,,,,,,,,,,,-0.594,20
,,,,,,,,,,,,,,,-0.592,0
,,,,,,,,,,,,,,,-0.59,0
,,,,,,,,,,,,,,,-0.588,0
,,,,,,,,,,,,,,,-0.586,20
,,,,,,,,,,,,,,,-0.584,0
,,,,,,,,,,,,,,,-0.582,0
,,,,,,,,,,,,,,,-0.58,-20
,,,,,,,,,,,,,,,-0.578,0
,,,,,,,,,,,,,,,-0.576,0
,,,,,,,,,,,,,,,-0.574,0
,,,,,,,,,,,,,,,-0.572,20
,,,,,,,,,,,,,,,-0.57,0
,,,,,,,,,,,,,,,-0.568,0
,,,,,,,,,,,,,,,-0.566,20
,,,,,,,,,,,,,,,-0.564,20
,,,,,,,,,,,,,,,-0.562,0
,,,,,,,,,,,,,,,-0.56,0
,,,,,,,,,,,,,,,-0.558,0
,,,,,,,,,,,,,,,-0.556,20
,,,,,,,,,,,,,,,-0.554,20
,,,,,,,,,,,,,,,-0.552,20
,,,,,,,,,,,,,,,-0.55,20
,,,,,,,,,,,,,,,-0.548,20
,,,,,,,,,,,,,,,-0.546,0
,,,,,,,,,,,,,,,-0.544,20
,,,,,,,,,,,,,,,-0.542,0
,,,,,,,,,,,,,,,-0.54,0
,,,,,,,,,,,,,,,-0.538,0
,,,,,,,,,,,,,,,-0.536,20
,,,,,,,,,,,,,,,-0.534,20
,,,,,,,,,,,,,,,-0.532,0
,,,,,,,,,,,,,,,-0.53,20
,,,,,,,,,,,,,,,-0.528,0
,,,,,,,,,,,,,,,-0.526,20
,,,,,,,,,,,,,,,-0.524,0
,,,,,,,,,,,,,,,-0.522,20
,,,,,,,,,,,,,,,-0.52,0
,,,,,,,,,,,,,,,-0.518,0
,,,,,,,,,,,,,,,-0.516,0
,,,,,,,,,,,,,,,-0.514,0
,,,,,,,,,,,,,,,-0.512,20
,,,,,,,,,,,,,,,-0.51,20
,,,,,,,,,,,,,,,-0.508,0
,,,,,,,,,,,,,,,-0.506,0
,,,,,,,,,,,,,,,-0.504,20
,,,,,,,,,,,,,,,-0.502,20
,,,,,,,,,,,,,,,-0.5,0
,,,,,,,,,,,,,,,-0.498,20
,,,,,,,,,,,,,,,-0.496,0
,,,,,,,,,,,,,,,-0.494,0
,,,,,,,,,,,,,,,-0.492,20
,,,,,,,,,,,,,,,-0.49,0
,,,,,,,,,,,,,,,-0.488,0
,,,,,,,,,,,,,,,-0.486,20
,,,,,,,,,,,,,,,-0.484,0
,,,,,,,,,,,,,,,-0.482,20
,,,,,,,,,,,,,,,-0.48,20
,,,,,,,,,,,,,,,-0.478,0
,,,,,,,,,,,,,,,-0.476,0
,,,,,,,,,,,,,,,-0.474,0
,,,,,,,,,,,,,,,-0.472,0
,,,,,,,,,,,,,,,-0.47,20
,,,,,,,,,,,,,,,-0.468,0
,,,,,,,,,,,,,,,-0.466,0
,,,,,,,,,,,,,,,-0.464,20
,,,,,,,,,,,,,,,-0.462,20
,,,,,,,,,,,,,,,-0.46,0
,,,,,,,,,,,,,,,-0.458,0
,,,,,,,,,,,,,,,-0.456,20
,,,,,,,,,,,,,,,-0.454,20
,,,,,,,,,,,,,,,-0.452,0
,,,,,,,,,,,,,,,-0.45,0
,,,,,,,,,,,,,,,-0.448,0
,,,,,,,,,,,,,,,-0.446,0
,,,,,,,,,,,,,,,-0.444,0
,,,,,,,,,,,,,,,-0.442,0
,,,,,,,,,,,,,,,-0.44,0
,,,,,,,,,,,,,,,-0.438,0
,,,,,,,,,,,,,,,-0.436,0
,,,,,,,,,,,,,,,-0.434,0
,,,,,,,,,,,,,,,-0.432,0
,,,,,,,,,,,,,,,-0.43,20
,,,,,,,,,,,,,,,-0.428,20
,,,,,,,,,,,,,,,-0.426,0
,,,,,,,,,,,,,,,-0.424,0
,,,,,,,,,,,,,,,-0.422,20
,,,,,,,,,,,,,,,-0.42,0
,,,,,,,,,,,,,,,-0.418,0
,,,,,,,,,,,,,,,-0.416,0
,,,,,,,,,,,,,,,-0.414,0
,,,,,,,,,,,,,,,-0.412,20
,,,,,,,,,,,,,,,-0.41,20
,,,,,,,,,,,,,,,-0.408,20
,,,,,,,,,,,,,,,-0.406,20
,,,,,,,,,,,,,,,-0.404,0
,,,,,,,,,,,,,,,-0.402,20
,,,,,,,,,,,,,,,-0.4,0
,,,,,,,,,,,,,,,-0.398,0
,,,,,,,,,,,,,,,-0.396,20
,,,,,,,,,,,,,,,-0.394,0
,,,,,,,,,,,,,,,-0.392,0
,,,,,,,,,,,,,,,-0.39,20
,,,,,,,,,,,,,,,-0.388,20
,,,,,,,,,,,,,,,-0.386,20
,,,,,,,,,,,,,,,-0.384,0
,,,,,,,,,,,,,,,-0.382,20
,,,,,,,,,,,,,,,-0.38,20
,,,,,,,,,,,,,,,-0.378,20
,,,,,,,,,,,,,,,-0.376,0
,,,,,,,,,,,,,,,-0.374,20
,,,,,,,,,,,,,,,-0.372,0
,,,,,,,,,,,,,,,-0.37,20
,,,,,,,,,,,,,,,-0.368,20
,,,,,,,,,,,,,,,-0.366,0
,,,,,,,,,,,,,,,-0.364,20
,,,,,,,,,,,,,,,-0.362,0
,,,,,,,,,,,,,,,-0.36,0
,,,,,,,,,,,,,,,-0.358,20
,,,,,,,,,,,,,,,-0.356,20
,,,,,,,,,,,,,,,-0.354,20
,,,,,,,,,,,,,,,-0.352,0
,,,,,,,,,,,,,,,-0.35,20
,,,,,,,,,,,,,,,-0.348,0
,,,,,,,,,,,,,,,-0.346,20
,,,,,,,,,,,,,,,-0.344,20
,,,,,,,,,,,,,,,-0.342,0
,,,,,,,,,,,,,,,-0.34,0
,,,,,,,,,,,,,,,-0.338,0
,,,,,,,,,,,,,,,-0.336,20
,,,,,,,,,,,,,,,-0.334,20
,,,,,,,,,,,,,,,-0.332,20
,,,,,,,,,,,,,,,-0.33,0
,,,,,,,,,,,,,,,-0.328,20
,,,,,,,,,,,,,,,-0.326,20
,,,,,,,,,,,,,,,-0.324,20
,,,,,,,,,,,,,,,-0.322,0
,,,,,,,,,,,,,,,-0.32,0
,,,,,,,,,,,,,,,-0.318,20
,,,,,,,,,,,,,,,-0.316,0
,,,,,,,,,,,,,,,-0.314,20
,,,,,,,,,,,,,,,-0.312,0
,,,,,,,,,,,,,,,-0.31,20
,,,,,,,,,,,,,,,-0.308,0
,,,,,,,,,,,,,,,-0.306,0
,,,,,,,,,,,,,,,-0.304,0
,,,,,,,,,,,,,,,-0.302,20
,,,,,,,,,,,,,,,-0.3,0
,,,,,,,,,,,,,,,-0.298,20
,,,,,,,,,,,,,,,-0.296,20
,,,,,,,,,,,,,,,-0.294,0
,,,,,,,,,,,,,,,-0.292,0
,,,,,,,,,,,,,,,-0.29,20
,,,,,,,,,,,,,,,-0.288,0
,,,,,,,,,,,,,,,-0.286,20
,,,,,,,,,,,,,,,-0.284,20
,,,,,,,,,,,,,,,-0.282,0
,,,,,,,,,,,,,,,-0.28,0
,,,,,,,,,,,,,,,-0.278,0
,,,,,,,,,,,,,,,-0.276,20
,,,,,,,,,,,,,,,-0.274,20
,,,,,,,,,,,,,,,-0.272,20
,,,,,,,,,,,,,,,-0.27,0
,,,,,,,,,,,,,,,-0.268,20
,,,,,,,,,,,,,,,-0.266,0
,,,,,,,,,,,,,,,-0.264,0
,,,,,,,,,,,,,,,-0.262,0
,,,,,,,,,,,,,,,-0.26,0
,,,,,,,,,,,,,,,-0.258,0
,,,,,,,,,,,,,,,-0.256,20
,,,,,,,,,,,,,,,-0.254,20
,,,,,,,,,,,,,,,-0.252,20
,,,,,,,,,,,,,,,-0.25,20
,,,,,,,,,,,,,,,-0.248,20
,,,,,,,,,,,,,,,-0.246,0
,,,,,,,,,,,,,,,-0.244,0
,,,,,,,,,,,,,,,-0.242,0
,,,,,,,,,,,,,,,-0.24,0
,,,,,,,,,,,,,,,-0.238,20
,,,,,,,,,,,,,,,-0.236,0
,,,,,,,,,,,,,,,-0.234,20
,,,,,,,,,,,,,,,-0.232,20
,,,,,,,,,,,,,,,-0.23,0
,,,,,,,,,,,,,,,-0.228,0
,,,,,,,,,,,,,,,-0.226,20
,,,,,,,,,,,,,,,-0.224,20
,,,,,,,,,,,,,,,-0.222,0
,,,,,,,,,,,,,,,-0.22,0
,,,,,,,,,,,,,,,-0.218,20
,,,,,,,,,,,,,,,-0.216,20
,,,,,,,,,,,,,,,-0.214,20
,,,,,,,,,,,,,,,-0.212,0
,,,,,,,,,,,,,,,-0.21,20
,,,,,,,,,,,,,,,-0.208,0
,,,,,,,,,,,,,,,-0.206,0
,,,,,,,,,,,,,,,-0.204,20
,,,,,,,,,,,,,,,-0.202,0
,,,,,,,,,,,,,,,-0.2,0
,,,,,,,,,,,,,,,-0.198,20
,,,,,,,,,,,,,,,-0.196,0
,,,,,,,,,,,,,,,-0.194,20
,,,,,,,,,,,,,,,-0.192,20
,,,,,,,,,,,,,,,-0.19,20
,,,,,,,,,,,,,,,-0.188,20
,,,,,,,,,,,,,,,-0.186,20
,,,,,,,,,,,,,,,-0.184,20
,,,,,,,,,,,,,,,-0.182,20
,,,,,,,,,,,,,,,-0.18,20
,,,,,,,,,,,,,,,-0.178,0
,,,,,,,,,,,,,,,-0.176,20
,,,,,,,,,,,,,,,-0.174,0
,,,,,,,,,,,,,,,-0.172,20
,,,,,,,,,,,,,,,-0.17,20
,,,,,,,,,,,,,,,-0.168,0
,,,,,,,,,,,,,,,-0.166,0
,,,,,,,,,,,,,,,-0.164,20
,,,,,,,,,,,,,,,-0.162,20
,,,,,,,,,,,,,,,-0.16,20
,,,,,,,,,,,,,,,-0.158,0
,,,,,,,,,,,,,,,-0.156,0
,,,,,,,,,,,,,,,-0.154,0
,,,,,,,,,,,,,,,-0.152,20
,,,,,,,,,,,,,,,-0.15,0
,,,,,,,,,,,,,,,-0.148,20
,,,,,,,,,,,,,,,-0.146,20
,,,,,,,,,,,,,,,-0.144,0
,,,,,,,,,,,,,,,-0.142,20
,,,,,,,,,,,,,,,-0.14,20
,,,,,,,,,,,,,,,-0.138,20
,,,,,,,,,,,,,,,-0.136,0
,,,,,,,,,,,,,,,-0.134,20
,,,,,,,,,,,,,,,-0.132,0
,,,,,,,,,,,,,,,-0.13,20
,,,,,,,,,,,,,,,-0.128,20
,,,,,,,,,,,,,,,-0.126,0
,,,,,,,,,,,,,,,-0.124,20
,,,,,,,,,,,,,,,-0.122,0
,,,,,,,,,,,,,,,-0.12,0
,,,,,,,,,,,,,,,-0.118,0
,,,,,,,,,,,,,,,-0.116,20
,,,,,,,,,,,,,,,-0.114,0
,,,,,,,,,,,,,,,-0.112,0
,,,,,,,,,,,,,,,-0.11,20
,,,,,,,,,,,,,,,-0.108,20
,,,,,,,,,,,,,,,-0.106,20
,,,,,,,,,,,,,,,-0.104,40
,,,,,,,,,,,,,,,-0.102,60
,,,,,,,,,,,,,,,-0.1,80
,,,,,,,,,,,,,,,-0.098,100
,,,,,,,,,,,,,,,-0.096,100
,,,,,,,,,,,,,,,-0.094,120
,,,,,,,,,,,,,,,-0.092,120
,,,,,,,,,,,,,,,-0.09,120
,,,,,,,,,,,,,,,-0.088,140
,,,,,,,,,,,,,,,-0.086,180
,,,,,,,,,,,,,,,-0.084,180
,,,,,,,,,,,,,,,-0.082,180
,,,,,,,,,,,,,,,-0.08,200
,,,,,,,,,,,,,,,-0.078,220
,,,,,,,,,,,,,,,-0.076,220
,,,,,,,,,,,,,,,-0.074,240
,,,,,,,,,,,,,,,-0.072,260
,,,,,,,,,,,,,,,-0.07,280
,,,,,,,,,,,,,,,-0.068,280
,,,,,,,,,,,,,,,-0.066,300
,,,,,,,,,,,,,,,-0.064,300
,,,,,,,,,,,,,,,-0.062,320
,,,,,,,,,,,,,,,-0.06,320
,,,,,,,,,,,,,,,-0.058,340
,,,,,,,,,,,,,,,-0.056,340
,,,,,,,,,,,,,,,-0.054,360
,,,,,,,,,,,,,,,-0.052,380
