I,N,t
3.2,22.813,100
3.4,14.466,100
3.1,13.016,100
3.3,23.903,100
3.5,6.188,100
3.45,10.277,100
3.35,18.414,100
3.25,26.222,100
3.15,19.634,100
3.05,7.958,100
