  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.675059                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-8.4000e-01   -8.6962e-04   9.6594e+02
-8.3000e-01   -8.5927e-04   9.6594e+02
-8.2000e-01   -8.4892e-04   9.6593e+02
-8.1000e-01   -8.3857e-04   9.6593e+02
-8.0000e-01   -8.2822e-04   9.6593e+02
-7.9000e-01   -8.1787e-04   9.6592e+02
-7.8000e-01   -8.0760e-04   9.6583e+02
-7.7000e-01   -7.9724e-04   9.6583e+02
-7.6000e-01   -7.8690e-04   9.6581e+02
-7.5000e-01   -7.7654e-04   9.6582e+02
-7.4000e-01   -7.6619e-04   9.6582e+02
-7.3000e-01   -7.5583e-04   9.6583e+02
-7.2000e-01   -7.4556e-04   9.6572e+02
-7.1000e-01   -7.3520e-04   9.6573e+02
-7.0000e-01   -7.2483e-04   9.6574e+02
-6.9000e-01   -7.1447e-04   9.6575e+02
-6.8000e-01   -7.0411e-04   9.6576e+02
-6.7000e-01   -6.9375e-04   9.6577e+02
-6.6000e-01   -6.8339e-04   9.6578e+02
-6.5000e-01   -6.7310e-04   9.6568e+02
-6.4000e-01   -6.6273e-04   9.6570e+02
-6.3000e-01   -6.5237e-04   9.6571e+02
-6.2000e-01   -6.4200e-04   9.6573e+02
-6.1000e-01   -6.3163e-04   9.6575e+02
-6.0000e-01   -6.2134e-04   9.6566e+02
-5.9000e-01   -6.1098e-04   9.6567e+02
-5.8000e-01   -6.0060e-04   9.6571e+02
-5.7000e-01   -5.9023e-04   9.6573e+02
-5.6000e-01   -5.7993e-04   9.6564e+02
-5.5000e-01   -5.6957e-04   9.6564e+02
-5.4000e-01   -5.5918e-04   9.6570e+02
-5.3000e-01   -5.4881e-04   9.6572e+02
-5.2000e-01   -5.3843e-04   9.6577e+02
-5.1000e-01   -5.2813e-04   9.6566e+02
-5.0000e-01   -5.1776e-04   9.6570e+02
-4.9000e-01   -5.0738e-04   9.6575e+02
-4.8000e-01   -4.9700e-04   9.6579e+02
-4.7000e-01   -4.8671e-04   9.6568e+02
-4.6000e-01   -4.7635e-04   9.6568e+02
-4.5000e-01   -4.6596e-04   9.6574e+02
-4.4000e-01   -4.5559e-04   9.6579e+02
-4.3000e-01   -4.4528e-04   9.6568e+02
-4.2000e-01   -4.3491e-04   9.6571e+02
-4.1000e-01   -4.2453e-04   9.6577e+02
-4.0000e-01   -4.1415e-04   9.6582e+02
-3.9000e-01   -4.0385e-04   9.6571e+02
-3.8000e-01   -3.9347e-04   9.6576e+02
-3.7000e-01   -3.8309e-04   9.6584e+02
-3.6000e-01   -3.7272e-04   9.6588e+02
-3.5000e-01   -3.6241e-04   9.6576e+02
-3.4000e-01   -3.5204e-04   9.6581e+02
-3.3000e-01   -3.4165e-04   9.6589e+02
-3.2000e-01   -3.3128e-04   9.6595e+02
-3.1000e-01   -3.2090e-04   9.6605e+02
-3.0000e-01   -3.1060e-04   9.6586e+02
-2.9000e-01   -3.0023e-04   9.6592e+02
-2.8000e-01   -2.8986e-04   9.6600e+02
-2.7000e-01   -2.7949e-04   9.6606e+02
-2.6000e-01   -2.6911e-04   9.6613e+02
-2.5000e-01   -2.5882e-04   9.6592e+02
-2.4000e-01   -2.4844e-04   9.6601e+02
-2.3000e-01   -2.3808e-04   9.6606e+02
-2.2000e-01   -2.2771e-04   9.6614e+02
-2.1000e-01   -2.1734e-04   9.6621e+02
-2.0000e-01   -2.0705e-04   9.6593e+02
-1.9000e-01   -1.9669e-04   9.6601e+02
-1.8000e-01   -1.8632e-04   9.6609e+02
-1.7000e-01   -1.7596e-04   9.6612e+02
-1.6000e-01   -1.6558e-04   9.6628e+02
-1.5000e-01   -1.5532e-04   9.6572e+02
-1.4000e-01   -1.4496e-04   9.6581e+02
-1.3000e-01   -1.3460e-04   9.6586e+02
-1.2000e-01   -1.2423e-04   9.6594e+02
-1.1000e-01   -1.1388e-04   9.6595e+02
-1.0000e-01   -1.0351e-04   9.6607e+02
-9.0000e-02   -9.3148e-05   9.6620e+02
-8.0000e-02   -8.2783e-05   9.6638e+02
-7.0000e-02   -7.2423e-05   9.6654e+02
-6.0000e-02   -6.2070e-05   9.6665e+02
-5.0000e-02   -5.1713e-05   9.6688e+02
-4.0000e-02   -4.1430e-05   9.6548e+02
-3.0000e-02   -3.1070e-05   9.6555e+02
-2.0000e-02   -2.0717e-05   9.6540e+02
-1.0000e-02   -1.0356e-05   9.6561e+02
0.0000e+00   6.6772e-09   0.0000e+00
0.0000e+00   7.9204e-09   0.0000e+00
1.0000e-02   1.0285e-05   9.7231e+02
2.0000e-02   2.0641e-05   9.6896e+02
3.0000e-02   3.0998e-05   9.6780e+02
4.0000e-02   4.1355e-05   9.6723e+02
5.0000e-02   5.1637e-05   9.6830e+02
6.0000e-02   6.1996e-05   9.6781e+02
7.0000e-02   7.2361e-05   9.6737e+02
8.0000e-02   8.2639e-05   9.6806e+02
9.0000e-02   9.3004e-05   9.6770e+02
1.0000e-01   1.0336e-04   9.6750e+02
1.1000e-01   1.1373e-04   9.6724e+02
1.2000e-01   1.2390e-04   9.6852e+02
1.3000e-01   1.3426e-04   9.6827e+02
1.4000e-01   1.4462e-04   9.6804e+02
1.5000e-01   1.5497e-04   9.6794e+02
1.6000e-01   1.6525e-04   9.6821e+02
1.7000e-01   1.7561e-04   9.6804e+02
1.8000e-01   1.8597e-04   9.6788e+02
1.9000e-01   1.9633e-04   9.6774e+02
2.0000e-01   2.0662e-04   9.6797e+02
2.1000e-01   2.1699e-04   9.6781e+02
2.2000e-01   2.2734e-04   9.6770e+02
2.3000e-01   2.3771e-04   9.6756e+02
2.4000e-01   2.4800e-04   9.6774e+02
2.5000e-01   2.5837e-04   9.6762e+02
2.6000e-01   2.6873e-04   9.6753e+02
2.7000e-01   2.7902e-04   9.6767e+02
2.8000e-01   2.8938e-04   9.6759e+02
2.9000e-01   2.9975e-04   9.6749e+02
3.0000e-01   3.1012e-04   9.6737e+02
3.1000e-01   3.2040e-04   9.6753e+02
3.2000e-01   3.3077e-04   9.6745e+02
3.3000e-01   3.4112e-04   9.6740e+02
3.4000e-01   3.5149e-04   9.6731e+02
3.5000e-01   3.6185e-04   9.6726e+02
3.6000e-01   3.7214e-04   9.6738e+02
3.7000e-01   3.8250e-04   9.6732e+02
3.8000e-01   3.9286e-04   9.6727e+02
3.9000e-01   4.0322e-04   9.6720e+02
4.0000e-01   4.1358e-04   9.6716e+02
4.1000e-01   4.2395e-04   9.6711e+02
4.2000e-01   4.3422e-04   9.6724e+02
4.3000e-01   4.4459e-04   9.6719e+02
4.4000e-01   4.5495e-04   9.6715e+02
4.5000e-01   4.6531e-04   9.6710e+02
4.6000e-01   4.7565e-04   9.6709e+02
4.7000e-01   4.8594e-04   9.6720e+02
4.8000e-01   4.9629e-04   9.6718e+02
4.9000e-01   5.0665e-04   9.6714e+02
5.0000e-01   5.1701e-04   9.6710e+02
5.1000e-01   5.2737e-04   9.6706e+02
5.2000e-01   5.3765e-04   9.6718e+02
5.3000e-01   5.4801e-04   9.6714e+02
5.4000e-01   5.5836e-04   9.6712e+02
5.5000e-01   5.6872e-04   9.6709e+02
5.6000e-01   5.7907e-04   9.6707e+02
5.7000e-01   5.8936e-04   9.6716e+02
5.8000e-01   5.9971e-04   9.6714e+02
5.9000e-01   6.1006e-04   9.6711e+02
6.0000e-01   6.2042e-04   9.6709e+02
6.1000e-01   6.3078e-04   9.6706e+02
6.2000e-01   6.4105e-04   9.6716e+02
6.3000e-01   6.5140e-04   9.6715e+02
6.4000e-01   6.6175e-04   9.6713e+02
6.5000e-01   6.7210e-04   9.6711e+02
6.6000e-01   6.8238e-04   9.6720e+02
6.7000e-01   6.9273e-04   9.6719e+02
6.8000e-01   7.0308e-04   9.6717e+02
6.9000e-01   7.1344e-04   9.6715e+02
7.0000e-01   7.2371e-04   9.6724e+02
7.1000e-01   7.3405e-04   9.6724e+02
7.2000e-01   7.4440e-04   9.6722e+02
7.3000e-01   7.5474e-04   9.6723e+02
7.4000e-01   7.6501e-04   9.6731e+02
7.5000e-01   7.7535e-04   9.6731e+02
7.6000e-01   7.8570e-04   9.6729e+02
7.7000e-01   7.9602e-04   9.6731e+02
7.8000e-01   8.0629e-04   9.6740e+02
7.9000e-01   8.1662e-04   9.6740e+02
8.0000e-01   8.2697e-04   9.6739e+02
8.1000e-01   8.3730e-04   9.6739e+02
8.2000e-01   8.4756e-04   9.6749e+02
8.3000e-01   8.5790e-04   9.6747e+02
8.4000e-01   8.6824e-04   9.6747e+02
8.5000e-01   8.7850e-04   9.6756e+02
8.6000e-01   8.8882e-04   9.6757e+02
8.7000e-01   8.9916e-04   9.6757e+02
8.8000e-01   9.0950e-04   9.6757e+02
8.9000e-01   9.1975e-04   9.6766e+02
9.0000e-01   9.3007e-04   9.6767e+02
9.1000e-01   9.4041e-04   9.6766e+02
9.2000e-01   9.5074e-04   9.6767e+02
9.3000e-01   9.6106e-04   9.6769e+02
9.4000e-01   9.7129e-04   9.6778e+02
9.5000e-01   9.8162e-04   9.6779e+02
9.6000e-01   9.9193e-04   9.6781e+02
9.7000e-01   1.0023e-03   9.6782e+02
9.8000e-01   1.0126e-03   9.6783e+02
9.9000e-01   1.0228e-03   9.6792e+02
1.0000e+00   1.0331e-03   9.6794e+02
1.0000e+00   1.0331e-03   9.6794e+02
9.9000e-01   1.0228e-03   9.6792e+02
9.8000e-01   1.0126e-03   9.6784e+02
9.7000e-01   1.0023e-03   9.6782e+02
9.6000e-01   9.9193e-04   9.6781e+02
9.5000e-01   9.8161e-04   9.6779e+02
9.4000e-01   9.7129e-04   9.6779e+02
9.3000e-01   9.6105e-04   9.6769e+02
9.2000e-01   9.5073e-04   9.6768e+02
9.1000e-01   9.4040e-04   9.6767e+02
9.0000e-01   9.3007e-04   9.6767e+02
8.9000e-01   9.1974e-04   9.6767e+02
8.8000e-01   9.0948e-04   9.6758e+02
8.7000e-01   8.9915e-04   9.6758e+02
8.6000e-01   8.8882e-04   9.6758e+02
8.5000e-01   8.7849e-04   9.6757e+02
8.4000e-01   8.6824e-04   9.6748e+02
8.3000e-01   8.5790e-04   9.6748e+02
8.2000e-01   8.4756e-04   9.6748e+02
8.1000e-01   8.3730e-04   9.6739e+02
8.0000e-01   8.2697e-04   9.6739e+02
7.9000e-01   8.1662e-04   9.6740e+02
7.8000e-01   8.0628e-04   9.6740e+02
7.7000e-01   7.9602e-04   9.6731e+02
7.6000e-01   7.8570e-04   9.6729e+02
7.5000e-01   7.7535e-04   9.6731e+02
7.4000e-01   7.6500e-04   9.6732e+02
7.3000e-01   7.5473e-04   9.6723e+02
7.2000e-01   7.4440e-04   9.6723e+02
7.1000e-01   7.3404e-04   9.6725e+02
7.0000e-01   7.2370e-04   9.6725e+02
6.9000e-01   7.1343e-04   9.6716e+02
6.8000e-01   7.0308e-04   9.6717e+02
6.7000e-01   6.9273e-04   9.6719e+02
