  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.647020                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
1.0000e-01   1.9603e-04   5.1013e+02
1.2000e-01   2.3521e-04   5.1018e+02
1.4000e-01   2.7458e-04   5.0987e+02
1.6000e-01   3.1382e-04   5.0984e+02
1.8000e-01   3.5325e-04   5.0956e+02
2.0000e-01   3.9256e-04   5.0947e+02
2.2000e-01   4.3205e-04   5.0920e+02
2.4000e-01   4.7140e-04   5.0912e+02
2.6000e-01   5.1092e-04   5.0889e+02
2.8000e-01   5.5029e-04   5.0882e+02
3.0000e-01   5.8983e-04   5.0862e+02
3.2000e-01   6.2919e-04   5.0859e+02
3.4000e-01   6.6870e-04   5.0845e+02
3.6000e-01   7.0806e-04   5.0843e+02
3.8000e-01   7.4756e-04   5.0832e+02
4.0000e-01   7.8705e-04   5.0823e+02
4.2000e-01   8.2638e-04   5.0824e+02
4.4000e-01   8.6586e-04   5.0816e+02
4.6000e-01   9.0531e-04   5.0811e+02
4.8000e-01   9.4461e-04   5.0815e+02
5.0000e-01   9.8535e-04   5.0743e+02
5.2000e-01   1.0326e-03   5.0361e+02
5.4000e-01   1.0726e-03   5.0344e+02
5.6000e-01   1.1126e-03   5.0333e+02
5.8000e-01   1.1524e-03   5.0330e+02
6.0000e-01   1.1922e-03   5.0326e+02
6.2000e-01   1.2319e-03   5.0330e+02
6.4000e-01   1.2716e-03   5.0329e+02
6.6000e-01   1.3112e-03   5.0335e+02
6.8000e-01   1.3509e-03   5.0336e+02
7.0000e-01   1.3905e-03   5.0340e+02
7.2000e-01   1.4303e-03   5.0341e+02
7.4000e-01   1.4698e-03   5.0346e+02
7.6000e-01   1.5095e-03   5.0347e+02
7.8000e-01   1.5490e-03   5.0353e+02
8.0000e-01   1.5887e-03   5.0355e+02
8.2000e-01   1.6283e-03   5.0361e+02
8.4000e-01   1.6679e-03   5.0362e+02
8.6000e-01   1.7074e-03   5.0369e+02
8.8000e-01   1.7470e-03   5.0371e+02
9.0000e-01   1.7866e-03   5.0376e+02
9.2000e-01   1.8262e-03   5.0378e+02
9.4000e-01   1.8656e-03   5.0387e+02
9.6000e-01   1.9052e-03   5.0388e+02
9.8000e-01   1.9448e-03   5.0391e+02
1.0000e+00   1.9842e-03   5.0399e+02
1.0000e+00   1.9842e-03   5.0398e+02
9.8000e-01   1.9448e-03   5.0392e+02
9.6000e-01   1.9052e-03   5.0389e+02
9.4000e-01   1.8656e-03   5.0387e+02
9.2000e-01   1.8261e-03   5.0380e+02
9.0000e-01   1.7865e-03   5.0378e+02
8.8000e-01   1.7470e-03   5.0372e+02
8.6000e-01   1.7074e-03   5.0368e+02
8.4000e-01   1.6679e-03   5.0362e+02
8.2000e-01   1.6283e-03   5.0361e+02
8.0000e-01   1.5887e-03   5.0354e+02
7.8000e-01   1.5491e-03   5.0351e+02
7.6000e-01   1.5097e-03   5.0341e+02
7.4000e-01   1.4699e-03   5.0343e+02
7.2000e-01   1.4300e-03   5.0348e+02
7.0000e-01   1.3901e-03   5.0356e+02
6.8000e-01   1.3499e-03   5.0373e+02
6.6000e-01   1.3096e-03   5.0397e+02
6.4000e-01   1.2697e-03   5.0404e+02
6.2000e-01   1.2297e-03   5.0418e+02
6.0000e-01   1.1903e-03   5.0407e+02
5.8000e-01   1.1507e-03   5.0404e+02
5.6000e-01   1.1111e-03   5.0400e+02
5.4000e-01   1.0714e-03   5.0399e+02
5.2000e-01   1.0317e-03   5.0404e+02
5.0000e-01   9.9194e-04   5.0406e+02
4.8000e-01   9.5219e-04   5.0410e+02
4.6000e-01   9.1246e-04   5.0413e+02
4.4000e-01   8.7259e-04   5.0425e+02
4.2000e-01   8.3278e-04   5.0433e+02
4.0000e-01   7.9302e-04   5.0440e+02
3.8000e-01   7.5322e-04   5.0450e+02
3.6000e-01   7.1342e-04   5.0461e+02
3.4000e-01   6.7376e-04   5.0463e+02
3.2000e-01   6.3395e-04   5.0477e+02
3.0000e-01   5.9429e-04   5.0481e+02
2.8000e-01   5.5446e-04   5.0500e+02
2.6000e-01   5.1479e-04   5.0506e+02
2.4000e-01   4.7498e-04   5.0529e+02
2.2000e-01   4.3532e-04   5.0537e+02
2.0000e-01   3.9554e-04   5.0563e+02
1.8000e-01   3.5594e-04   5.0571e+02
1.6000e-01   3.1526e-04   5.0752e+02
1.4000e-01   2.7579e-04   5.0764e+02
1.2000e-01   2.3619e-04   5.0807e+02
1.0000e-01   1.9683e-04   5.0807e+02
8.0000e-02   1.5736e-04   5.0839e+02
6.0000e-02   1.1792e-04   5.0880e+02
4.0000e-02   7.8847e-05   5.0731e+02
2.0000e-02   3.9592e-05   5.0515e+02
0.0000e+00   4.9473e-07   0.0000e+00
