  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.656032                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
3.4000e-01   1.6139e-05   2.1067e+04
3.6000e-01   1.6821e-05   2.1401e+04
3.8000e-01   1.7495e-05   2.1721e+04
4.0000e-01   1.8159e-05   2.2028e+04
4.2000e-01   1.8811e-05   2.2327e+04
4.4000e-01   1.9455e-05   2.2617e+04
4.6000e-01   2.0089e-05   2.2898e+04
4.8000e-01   2.0713e-05   2.3174e+04
5.0000e-01   2.1330e-05   2.3441e+04
5.2000e-01   2.1937e-05   2.3704e+04
5.4000e-01   2.2537e-05   2.3960e+04
5.6000e-01   2.3132e-05   2.4208e+04
5.8000e-01   2.3716e-05   2.4456e+04
6.0000e-01   2.4295e-05   2.4696e+04
6.2000e-01   2.4866e-05   2.4934e+04
6.4000e-01   2.5434e-05   2.5163e+04
6.6000e-01   2.5993e-05   2.5392e+04
6.8000e-01   2.6546e-05   2.5616e+04
7.0000e-01   2.7096e-05   2.5835e+04
7.2000e-01   2.7640e-05   2.6049e+04
7.4000e-01   2.8178e-05   2.6262e+04
7.6000e-01   2.8712e-05   2.6469e+04
7.8000e-01   2.9242e-05   2.6674e+04
8.0000e-01   2.9768e-05   2.6874e+04
8.2000e-01   3.0288e-05   2.7073e+04
8.4000e-01   3.0806e-05   2.7267e+04
8.6000e-01   3.1322e-05   2.7457e+04
8.8000e-01   3.1834e-05   2.7644e+04
9.0000e-01   3.2341e-05   2.7828e+04
9.2000e-01   3.2848e-05   2.8008e+04
9.4000e-01   3.3351e-05   2.8185e+04
9.6000e-01   3.3854e-05   2.8357e+04
9.8000e-01   3.4352e-05   2.8528e+04
1.0000e+00   3.4848e-05   2.8696e+04
1.0000e+00   3.4834e-05   2.8708e+04
9.8000e-01   3.4313e-05   2.8560e+04
9.6000e-01   3.3788e-05   2.8412e+04
9.4000e-01   3.3266e-05   2.8257e+04
9.2000e-01   3.2743e-05   2.8097e+04
9.0000e-01   3.2218e-05   2.7934e+04
8.8000e-01   3.1693e-05   2.7766e+04
8.6000e-01   3.1163e-05   2.7596e+04
8.4000e-01   3.0635e-05   2.7420e+04
8.2000e-01   3.0103e-05   2.7240e+04
8.0000e-01   2.9569e-05   2.7056e+04
7.8000e-01   2.9028e-05   2.6870e+04
7.6000e-01   2.8489e-05   2.6677e+04
7.4000e-01   2.7944e-05   2.6481e+04
7.2000e-01   2.7397e-05   2.6281e+04
7.0000e-01   2.6845e-05   2.6076e+04
6.8000e-01   2.6289e-05   2.5867e+04
6.6000e-01   2.5726e-05   2.5655e+04
6.4000e-01   2.5161e-05   2.5436e+04
6.2000e-01   2.4591e-05   2.5213e+04
6.0000e-01   2.4017e-05   2.4982e+04
5.8000e-01   2.3432e-05   2.4752e+04
5.6000e-01   2.2846e-05   2.4512e+04
5.4000e-01   2.2251e-05   2.4269e+04
5.2000e-01   2.1650e-05   2.4019e+04
5.0000e-01   2.1042e-05   2.3762e+04
4.8000e-01   2.0426e-05   2.3499e+04
4.6000e-01   1.9804e-05   2.3227e+04
4.4000e-01   1.9173e-05   2.2949e+04
4.2000e-01   1.8531e-05   2.2664e+04
4.0000e-01   1.7885e-05   2.2365e+04
3.8000e-01   1.7225e-05   2.2061e+04
3.6000e-01   1.6558e-05   2.1742e+04
3.4000e-01   1.5882e-05   2.1407e+04
3.2000e-01   1.5196e-05   2.1059e+04
3.0000e-01   1.4501e-05   2.0689e+04
2.8000e-01   1.3792e-05   2.0302e+04
2.6000e-01   1.3077e-05   1.9882e+04
2.4000e-01   1.2349e-05   1.9435e+04
2.2000e-01   1.1614e-05   1.8943e+04
2.0000e-01   1.0866e-05   1.8406e+04
1.8000e-01   1.0112e-05   1.7801e+04
1.6000e-01   9.3465e-06   1.7119e+04
1.4000e-01   8.5724e-06   1.6331e+04
1.2000e-01   7.7843e-06   1.5416e+04
1.0000e-01   6.9839e-06   1.4319e+04
8.0000e-02   6.1554e-06   1.2997e+04
6.0000e-02   5.2876e-06   1.1347e+04
4.0000e-02   4.3442e-06   9.2077e+03
2.0000e-02   3.2617e-06   6.1318e+03
0.0000e+00   1.9494e-06   0.0000e+00
