  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739662.656691                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   1.9796e-06   0.0000e+00
-1.0000e-02   1.1740e-06   -8.5179e+03
-2.0000e-02   2.4907e-07   -8.0300e+04
-3.0000e-02   -8.2774e-07   3.6243e+04
-4.0000e-02   -2.0883e-06   1.9154e+04
-5.0000e-02   -3.5516e-06   1.4078e+04
-6.0000e-02   -5.2784e-06   1.1367e+04
-7.0000e-02   -7.2898e-06   9.6024e+03
-8.0000e-02   -9.6213e-06   8.3149e+03
-9.0000e-02   -1.2295e-05   7.3201e+03
-1.0000e-01   -1.5316e-05   6.5292e+03
-1.1000e-01   -1.8743e-05   5.8689e+03
-1.2000e-01   -2.2565e-05   5.3179e+03
-1.3000e-01   -2.6786e-05   4.8533e+03
-1.4000e-01   -3.1404e-05   4.4580e+03
-1.5000e-01   -3.6411e-05   4.1196e+03
-1.6000e-01   -4.1756e-05   3.8318e+03
-1.7000e-01   -4.7518e-05   3.5776e+03
-1.8000e-01   -5.3654e-05   3.3548e+03
-1.9000e-01   -6.0134e-05   3.1596e+03
-2.0000e-01   -6.6962e-05   2.9868e+03
-2.1000e-01   -7.4066e-05   2.8353e+03
-2.2000e-01   -8.1564e-05   2.6973e+03
-2.3000e-01   -8.9359e-05   2.5739e+03
-2.4000e-01   -9.7463e-05   2.4625e+03
-2.5000e-01   -1.0587e-04   2.3613e+03
-2.6000e-01   -1.1451e-04   2.2706e+03
-2.7000e-01   -1.2351e-04   2.1860e+03
-2.8000e-01   -1.3277e-04   2.1089e+03
-2.9000e-01   -1.4228e-04   2.0383e+03
-3.0000e-01   -1.5203e-04   1.9734e+03
-3.1000e-01   -1.6193e-04   1.9144e+03
-3.2000e-01   -1.7215e-04   1.8589e+03
-3.3000e-01   -1.8258e-04   1.8074e+03
-3.4000e-01   -1.9320e-04   1.7598e+03
-3.5000e-01   -2.0405e-04   1.7152e+03
-3.6000e-01   -2.1501e-04   1.6743e+03
-3.7000e-01   -2.2619e-04   1.6358e+03
-3.8000e-01   -2.3759e-04   1.5994e+03
-3.9000e-01   -2.4913e-04   1.5655e+03
-4.0000e-01   -2.6076e-04   1.5340e+03
-4.1000e-01   -2.7261e-04   1.5040e+03
-4.2000e-01   -2.8464e-04   1.4755e+03
-4.3000e-01   -2.9678e-04   1.4489e+03
-4.4000e-01   -3.0896e-04   1.4241e+03
-4.5000e-01   -3.2139e-04   1.4002e+03
-4.6000e-01   -3.3392e-04   1.3776e+03
-4.7000e-01   -3.4656e-04   1.3562e+03
-4.8000e-01   -3.5928e-04   1.3360e+03
-4.9000e-01   -3.7215e-04   1.3167e+03
-5.0000e-01   -3.8517e-04   1.2981e+03
-5.1000e-01   -3.9827e-04   1.2806e+03
-5.2000e-01   -4.1138e-04   1.2640e+03
-5.3000e-01   -4.2470e-04   1.2480e+03
-5.4000e-01   -4.3809e-04   1.2326e+03
-5.5000e-01   -4.5162e-04   1.2178e+03
-5.6000e-01   -4.6519e-04   1.2038e+03
-5.7000e-01   -4.7879e-04   1.1905e+03
-5.8000e-01   -4.9253e-04   1.1776e+03
-5.9000e-01   -5.0639e-04   1.1651e+03
-6.0000e-01   -5.2030e-04   1.1532e+03
-6.1000e-01   -5.3422e-04   1.1419e+03
-6.2000e-01   -5.4832e-04   1.1307e+03
-6.3000e-01   -5.6248e-04   1.1200e+03
-6.4000e-01   -5.7670e-04   1.1098e+03
-6.5000e-01   -5.9099e-04   1.0998e+03
-6.6000e-01   -6.0525e-04   1.0905e+03
-6.7000e-01   -6.1969e-04   1.0812e+03
-6.8000e-01   -6.3420e-04   1.0722e+03
-6.9000e-01   -6.4876e-04   1.0636e+03
-7.0000e-01   -6.6339e-04   1.0552e+03
-7.1000e-01   -6.7808e-04   1.0471e+03
-7.2000e-01   -6.9279e-04   1.0393e+03
-7.3000e-01   -7.0749e-04   1.0318e+03
-7.4000e-01   -7.2235e-04   1.0244e+03
-7.5000e-01   -7.3726e-04   1.0173e+03
-7.6000e-01   -7.5226e-04   1.0103e+03
-7.7000e-01   -7.6724e-04   1.0036e+03
-7.8000e-01   -7.8231e-04   9.9705e+02
-7.9000e-01   -7.9732e-04   9.9082e+02
-8.0000e-01   -8.1249e-04   9.8463e+02
-8.1000e-01   -8.2771e-04   9.7861e+02
-8.2000e-01   -8.4298e-04   9.7274e+02
-8.3000e-01   -8.5828e-04   9.6705e+02
-8.4000e-01   -8.7364e-04   9.6149e+02
-8.5000e-01   -8.8892e-04   9.5622e+02
-8.6000e-01   -9.0436e-04   9.5095e+02
-8.7000e-01   -9.1983e-04   9.4582e+02
-8.8000e-01   -9.3536e-04   9.4082e+02
