  Measurement Number     Measurement type
                   6           CVSweepNew

      Measurement ID             SeriesID
       739662.660442                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3              1000000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
7.3338e-01 2.2758e+04 -6.7521e+03 6.9075e-03 1.0000e+06
7.4413e-01 2.2933e+04 -6.4957e+03 6.9078e-03 1.0000e+06
7.5417e-01 2.3424e+04 -6.5117e+03 6.9088e-03 1.0000e+06
7.6431e-01 2.3960e+04 -7.0141e+03 6.9084e-03 1.0000e+06
7.7441e-01 2.3544e+04 -6.7961e+03 6.9093e-03 1.0000e+06
7.8410e-01 2.3628e+04 -6.3005e+03 6.9091e-03 1.0000e+06
7.9398e-01 2.3941e+04 -7.0955e+03 6.9091e-03 1.0000e+06
8.0416e-01 2.3667e+04 -6.7310e+03 6.9088e-03 1.0000e+06
8.1406e-01 2.4168e+04 -6.6902e+03 6.9080e-03 1.0000e+06
8.2403e-01 2.4285e+04 -6.9538e+03 6.9087e-03 1.0000e+06
8.3411e-01 2.4509e+04 -6.5765e+03 6.9088e-03 1.0000e+06
8.4387e-01 2.3964e+04 -6.8257e+03 6.9089e-03 1.0000e+06
8.5385e-01 2.4547e+04 -6.6841e+03 6.9098e-03 1.0000e+06
8.6409e-01 2.4353e+04 -7.1977e+03 6.9086e-03 1.0000e+06
8.7374e-01 2.4833e+04 -6.7795e+03 6.9087e-03 1.0000e+06
8.8345e-01 2.4959e+04 -6.8154e+03 6.9087e-03 1.0000e+06
8.9390e-01 2.5005e+04 -6.7838e+03 6.9082e-03 1.0000e+06
9.0370e-01 2.5159e+04 -6.6573e+03 6.9089e-03 1.0000e+06
9.1377e-01 2.5179e+04 -6.5540e+03 6.9079e-03 1.0000e+06
9.2357e-01 2.5074e+04 -6.5193e+03 6.9110e-03 1.0000e+06
9.3356e-01 2.4999e+04 -6.5859e+03 6.9105e-03 1.0000e+06
9.4333e-01 2.4993e+04 -7.3004e+03 6.9084e-03 1.0000e+06
9.5350e-01 2.5299e+04 -6.7735e+03 6.9092e-03 1.0000e+06
9.6363e-01 2.5702e+04 -6.7683e+03 6.9087e-03 1.0000e+06
9.7331e-01 2.5451e+04 -6.4174e+03 6.9084e-03 1.0000e+06
9.8323e-01 2.5567e+04 -6.5224e+03 6.9098e-03 1.0000e+06
9.9429e-01 2.5811e+04 -6.9340e+03 6.9085e-03 1.0000e+06
1.0042e+00 2.5501e+04 -6.7133e+03 6.9094e-03 1.0000e+06
1.0041e+00 2.5427e+04 -7.0319e+03 6.9095e-03 1.0000e+06
9.9430e-01 2.5661e+04 -6.5130e+03 6.9092e-03 1.0000e+06
9.8325e-01 2.5873e+04 -6.9306e+03 6.9097e-03 1.0000e+06
9.7339e-01 2.5622e+04 -6.7476e+03 6.9090e-03 1.0000e+06
9.6363e-01 2.5676e+04 -6.4523e+03 6.9069e-03 1.0000e+06
9.5314e-01 2.5470e+04 -6.4850e+03 6.9090e-03 1.0000e+06
9.4328e-01 2.5290e+04 -6.7593e+03 6.9100e-03 1.0000e+06
