Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
2500,0.001,510,CH1,V,500,-1620,s,0.25,Y,0,1000,TDS2014C,C014547,FV:v24.18 rus,-0.51,0
,,,,,,,,,,,,,,,-0.509,20
,,,,,,,,,,,,,,,-0.508,0
,,,,,,,,,,,,,,,-0.507,20
,,,,,,,,,,,,,,,-0.506,20
,,,,,,,,,,,,,,,-0.505,0
,,,,,,,,,,,,,,,-0.504,20
,,,,,,,,,,,,,,,-0.503,0
,,,,,,,,,,,,,,,-0.502,0
,,,,,,,,,,,,,,,-0.501,20
,,,,,,,,,,,,,,,-0.5,0
,,,,,,,,,,,,,,,-0.499,20
,,,,,,,,,,,,,,,-0.498,0
,,,,,,,,,,,,,,,-0.497,0
,,,,,,,,,,,,,,,-0.496,0
,,,,,,,,,,,,,,,-0.495,20
,,,,,,,,,,,,,,,-0.494,20
,,,,,,,,,,,,,,,-0.493,20
,,,,,,,,,,,,,,,-0.492,20
,,,,,,,,,,,,,,,-0.491,0
,,,,,,,,,,,,,,,-0.49,0
,,,,,,,,,,,,,,,-0.489,20
,,,,,,,,,,,,,,,-0.488,0
,,,,,,,,,,,,,,,-0.487,0
,,,,,,,,,,,,,,,-0.486,20
,,,,,,,,,,,,,,,-0.485,20
,,,,,,,,,,,,,,,-0.484,20
,,,,,,,,,,,,,,,-0.483,20
,,,,,,,,,,,,,,,-0.482,0
,,,,,,,,,,,,,,,-0.481,0
,,,,,,,,,,,,,,,-0.48,20
,,,,,,,,,,,,,,,-0.479,20
,,,,,,,,,,,,,,,-0.478,0
,,,,,,,,,,,,,,,-0.477,0
,,,,,,,,,,,,,,,-0.476,0
,,,,,,,,,,,,,,,-0.475,0
,,,,,,,,,,,,,,,-0.474,20
,,,,,,,,,,,,,,,-0.473,0
,,,,,,,,,,,,,,,-0.472,0
,,,,,,,,,,,,,,,-0.471,20
,,,,,,,,,,,,,,,-0.47,0
,,,,,,,,,,,,,,,-0.469,20
,,,,,,,,,,,,,,,-0.468,20
,,,,,,,,,,,,,,,-0.467,20
,,,,,,,,,,,,,,,-0.466,20
,,,,,,,,,,,,,,,-0.465,20
,,,,,,,,,,,,,,,-0.464,0
,,,,,,,,,,,,,,,-0.463,20
,,,,,,,,,,,,,,,-0.462,0
,,,,,,,,,,,,,,,-0.461,20
