U_in,U_out
10,80
20,160
30,239
40,319
50,410
60,490
70,572
80,655
90,725
100,807
110,885
120,970
130,1055
140,1135
150,1212
160,1292
170,1370
180,1449
190,1527
200,1600
210,1665
220,1722
230,1785
240,1852
250,1915
260,1985
270,2030
280,2097
290,2165
300,2235
310,2300
320,2363
330,2420
340,2480
350,2537
360,2597
370,2659
380,2712
390,2769
400,2831
410,2892
420,2970
430,3053
440,3130
450,3195
460,3237
470,3296
480,3320
490,3350
500,3395
