,,,T,V
Record Length,2500,,-0.5,20
Sample Interval,0.002,,-0.498,20
Trigger Point,250,,-0.496,0
,,,-0.494,0
,,,-0.492,0
,,,-0.49,0
Source,CH1,,-0.488,40
Vertical Units,V,,-0.486,0
Vertical Scale,500,,-0.484,20
Vertical Offset,-1120,,-0.482,0
Horizontal Units,s,,-0.48,20
Horizontal Scale,0.5,,-0.478,20
Pt Fmt,Y,,-0.476,20
Yzero,0,,-0.474,20
Probe Atten,1000,,-0.472,0
Model Number,TDS2014C,,-0.47,0
Serial Number,C014547,,-0.468,20
Firmware Version,FV:v24.18 rus,,-0.466,20
,,,-0.464,0
,,,-0.462,0
,,,-0.46,20
,,,-0.458,0
,,,-0.456,20
,,,-0.454,20
,,,-0.452,0
,,,-0.45,20
,,,-0.448,20
,,,-0.446,20
,,,-0.444,0
,,,-0.442,20
,,,-0.44,0
,,,-0.438,0
,,,-0.436,20
,,,-0.434,20
,,,-0.432,0
,,,-0.43,0
,,,-0.428,20
,,,-0.426,20
,,,-0.424,0
,,,-0.422,0
,,,-0.42,20
,,,-0.418,20
,,,-0.416,0
,,,-0.414,20
,,,-0.412,0
,,,-0.41,20
,,,-0.408,20
,,,-0.406,20
,,,-0.404,0
,,,-0.402,0
,,,-0.4,20
,,,-0.398,20
,,,-0.396,-20
,,,-0.394,-20
,,,-0.392,0
,,,-0.39,0
,,,-0.388,0
,,,-0.386,0
,,,-0.384,0
,,,-0.382,20
,,,-0.38,0
,,,-0.378,20
,,,-0.376,0
,,,-0.374,20
,,,-0.372,0
,,,-0.37,0
,,,-0.368,20
,,,-0.366,0
,,,-0.364,20
,,,-0.362,0
,,,-0.36,20
,,,-0.358,0
,,,-0.356,0
,,,-0.354,0
,,,-0.352,20
,,,-0.35,20
,,,-0.348,20
,,,-0.346,20
,,,-0.344,20
,,,-0.342,20
,,,-0.34,20
,,,-0.338,0
,,,-0.336,20
,,,-0.334,20
,,,-0.332,20
,,,-0.33,0
,,,-0.328,20
,,,-0.326,20
,,,-0.324,0
,,,-0.322,20
,,,-0.32,20
,,,-0.318,20
,,,-0.316,0
,,,-0.314,20
,,,-0.312,20
,,,-0.31,20
,,,-0.308,20
,,,-0.306,0
,,,-0.304,20
,,,-0.302,0
,,,-0.3,0
,,,-0.298,0
,,,-0.296,20
,,,-0.294,0
,,,-0.292,20
,,,-0.29,20
,,,-0.288,20
,,,-0.286,0
,,,-0.284,20
,,,-0.282,20
,,,-0.28,0
,,,-0.278,0
,,,-0.276,0
,,,-0.274,20
,,,-0.272,20
,,,-0.27,0
,,,-0.268,20
,,,-0.266,20
,,,-0.264,0
,,,-0.262,0
,,,-0.26,20
,,,-0.258,0
,,,-0.256,0
,,,-0.254,0
,,,-0.252,20
,,,-0.25,20
,,,-0.248,0
,,,-0.246,0
,,,-0.244,20
,,,-0.242,20
,,,-0.24,0
,,,-0.238,20
,,,-0.236,20
,,,-0.234,20
,,,-0.232,20
,,,-0.23,0
,,,-0.228,0
,,,-0.226,20
,,,-0.224,0
,,,-0.222,20
,,,-0.22,20
,,,-0.218,0
,,,-0.216,0
,,,-0.214,0
,,,-0.212,0
,,,-0.21,20
,,,-0.208,0
,,,-0.206,20
,,,-0.204,20
,,,-0.202,20
,,,-0.2,20
,,,-0.198,0
,,,-0.196,40
,,,-0.194,20
,,,-0.192,0
,,,-0.19,0
,,,-0.188,20
,,,-0.186,0
,,,-0.184,20
,,,-0.182,0
,,,-0.18,20
,,,-0.178,0
,,,-0.176,0
,,,-0.174,0
,,,-0.172,0
,,,-0.17,20
,,,-0.168,20
,,,-0.166,0
,,,-0.164,0
,,,-0.162,0
,,,-0.16,0
,,,-0.158,20
,,,-0.156,0
,,,-0.154,0
,,,-0.152,20
,,,-0.15,20
,,,-0.148,0
,,,-0.146,0
,,,-0.144,0
,,,-0.142,20
,,,-0.14,20
,,,-0.138,0
,,,-0.136,20
,,,-0.134,0
,,,-0.132,0
,,,-0.13,0
,,,-0.128,20
,,,-0.126,0
,,,-0.124,0
,,,-0.122,20
,,,-0.12,20
,,,-0.118,20
,,,-0.116,20
,,,-0.114,20
,,,-0.112,0
,,,-0.11,0
,,,-0.108,0
,,,-0.106,40
,,,-0.104,20
,,,-0.102,80
,,,-0.1,80
,,,-0.098,100
,,,-0.096,100
,,,-0.094,120
,,,-0.092,140
,,,-0.09,140
,,,-0.088,140
,,,-0.086,160
,,,-0.084,180
,,,-0.082,200
,,,-0.08,200
,,,-0.078,240
,,,-0.076,260
,,,-0.074,240
,,,-0.072,280
,,,-0.07,280
,,,-0.068,280
,,,-0.066,300
,,,-0.064,320
,,,-0.062,320
,,,-0.06,340
,,,-0.058,360
,,,-0.056,360
,,,-0.054,380
,,,-0.052,380
,,,-0.05,400
,,,-0.048,420
,,,-0.046,420
,,,-0.044,440
,,,-0.042,440
,,,-0.04,440
,,,-0.038,480
,,,-0.036,480
,,,-0.034,500
,,,-0.032,500
,,,-0.03,500
,,,-0.028,520
,,,-0.026,520
,,,-0.024,540
,,,-0.022,540
,,,-0.02,560
,,,-0.018,580
,,,-0.016,580
,,,-0.014,600
,,,-0.012,600
,,,-0.01,600
,,,-0.008,620
,,,-0.006,640
,,,-0.004,620
,,,-0.002,640
,,,0,640
,,,0.002,660
,,,0.004,680
,,,0.006,680
,,,0.008,700
,,,0.01,700
,,,0.012,700
,,,0.014,740
,,,0.016,740
,,,0.018,760
,,,0.02,740
,,,0.022,740
,,,0.024,760
,,,0.026,780
,,,0.028,780
,,,0.03,780
,,,0.032,800
,,,0.034,820
,,,0.036,800
,,,0.038,820
,,,0.04,840
,,,0.042,840
,,,0.044,840
,,,0.046,840
,,,0.048,860
,,,0.05,880
,,,0.052,880
,,,0.054,880
,,,0.056,880
,,,0.058,880
,,,0.06,900
,,,0.062,900
,,,0.064,920
,,,0.066,920
,,,0.068,940
,,,0.07,940
,,,0.072,940
,,,0.074,960
,,,0.076,960
,,,0.078,980
,,,0.08,960
,,,0.082,980
,,,0.084,1000
,,,0.086,980
,,,0.088,1000
,,,0.09,980
,,,0.092,1000
,,,0.094,1000
,,,0.096,1020
,,,0.098,1020
,,,0.1,1040
,,,0.102,1040
,,,0.104,1040
,,,0.106,1060
,,,0.108,1060
,,,0.11,1080
,,,0.112,1080
,,,0.114,1060
,,,0.116,1080
,,,0.118,1100
,,,0.12,1100
,,,0.122,1100
,,,0.124,1100
,,,0.126,1100
,,,0.128,1100
,,,0.13,1120
,,,0.132,1120
,,,0.134,1120
,,,0.136,1160
,,,0.138,1140
,,,0.14,1140
,,,0.142,1140
,,,0.144,1160
,,,0.146,1160
,,,0.148,1180
,,,0.15,1180
,,,0.152,1160
,,,0.154,1180
,,,0.156,1180
,,,0.158,1180
,,,0.16,1180
,,,0.162,1200
,,,0.164,1200
,,,0.166,1200
,,,0.168,1200
,,,0.17,1200
,,,0.172,1200
,,,0.174,1220
,,,0.176,1220
,,,0.178,1200
,,,0.18,1240
,,,0.182,1220
,,,0.184,1220
,,,0.186,1240
,,,0.188,1260
,,,0.19,1240
,,,0.192,1260
,,,0.194,1260
,,,0.196,1280
,,,0.198,1260
,,,0.2,1260
,,,0.202,1260
,,,0.204,1280
,,,0.206,1280
,,,0.208,1280
,,,0.21,1300
,,,0.212,1280
,,,0.214,1300
,,,0.216,1300
,,,0.218,1300
,,,0.22,1300
,,,0.222,1300
,,,0.224,1320
,,,0.226,1320
,,,0.228,1320
,,,0.23,1320
,,,0.232,1320
,,,0.234,1340
,,,0.236,1320
,,,0.238,1320
,,,0.24,1340
,,,0.242,1340
,,,0.244,1360
,,,0.246,1340
,,,0.248,1340
,,,0.25,1340
,,,0.252,1340
,,,0.254,1360
,,,0.256,1360
,,,0.258,1360
,,,0.26,1360
,,,0.262,1360
,,,0.264,1360
,,,0.266,1360
,,,0.268,1360
,,,0.27,1360
,,,0.272,1380
,,,0.274,1380
,,,0.276,1380
,,,0.278,1380
,,,0.28,1380
,,,0.282,1380
,,,0.284,1400
,,,0.286,1400
,,,0.288,1400
,,,0.29,1400
,,,0.292,1400
,,,0.294,1400
,,,0.296,1400
,,,0.298,1400
,,,0.3,1420
,,,0.302,1400
,,,0.304,1400
,,,0.306,1420
,,,0.308,1420
,,,0.31,1420
,,,0.312,1420
,,,0.314,1420
,,,0.316,1420
,,,0.318,1440
,,,0.32,1420
,,,0.322,1420
,,,0.324,1440
,,,0.326,1420
,,,0.328,1420
,,,0.33,1440
,,,0.332,1420
,,,0.334,1420
,,,0.336,1440
,,,0.338,1440
,,,0.34,1440
,,,0.342,1460
,,,0.344,1440
,,,0.346,1460
,,,0.348,1440
,,,0.35,1460
,,,0.352,1460
,,,0.354,1440
,,,0.356,1460
,,,0.358,1460
,,,0.36,1460
,,,0.362,1460
,,,0.364,1460
,,,0.366,1460
,,,0.368,1480
,,,0.37,1460
,,,0.372,1460
,,,0.374,1460
,,,0.376,1480
,,,0.378,1480
,,,0.38,1500
,,,0.382,1480
,,,0.384,1480
,,,0.386,1480
,,,0.388,1500
,,,0.39,1480
,,,0.392,1480
,,,0.394,1480
,,,0.396,1480
,,,0.398,1480
,,,0.4,1480
,,,0.402,1480
,,,0.404,1480
,,,0.406,1480
,,,0.408,1480
,,,0.41,1480
,,,0.412,1480
,,,0.414,1500
,,,0.416,1480
,,,0.418,1480
,,,0.42,1480
,,,0.422,1500
,,,0.424,1500
,,,0.426,1500
,,,0.428,1500
,,,0.43,1500
,,,0.432,1500
,,,0.434,1520
,,,0.436,1500
,,,0.438,1500
,,,0.44,1500
,,,0.442,1500
,,,0.444,1480
,,,0.446,1500
,,,0.448,1520
,,,0.45,1500
,,,0.452,1500
,,,0.454,1520
,,,0.456,1520
,,,0.458,1500
,,,0.46,1500
,,,0.462,1540
,,,0.464,1520
,,,0.466,1520
,,,0.468,1520
,,,0.47,1520
,,,0.472,1500
,,,0.474,1520
,,,0.476,1520
,,,0.478,1520
,,,0.48,1500
,,,0.482,1520
,,,0.484,1500
,,,0.486,1540
,,,0.488,1520
,,,0.49,1520
,,,0.492,1520
,,,0.494,1520
,,,0.496,1520
,,,0.498,1520
,,,0.5,1540
