  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.664199                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
7.3323e-01 3.2591e+04 -9.5129e+02 6.9555e-03 1.0000e+05
7.4440e-01 3.2289e+04 -9.2766e+02 6.9567e-03 1.0000e+05
7.5410e-01 3.2442e+04 -7.5270e+02 6.9563e-03 1.0000e+05
7.6440e-01 3.2223e+04 -9.3962e+02 6.9562e-03 1.0000e+05
7.7450e-01 3.2171e+04 -8.2569e+02 6.9563e-03 1.0000e+05
7.8414e-01 3.1930e+04 -8.7704e+02 6.9559e-03 1.0000e+05
7.9414e-01 3.1896e+04 -9.5498e+02 6.9568e-03 1.0000e+05
8.0398e-01 3.2025e+04 -7.5453e+02 6.9553e-03 1.0000e+05
8.1405e-01 3.1726e+04 -7.6812e+02 6.9566e-03 1.0000e+05
8.2378e-01 3.1631e+04 -8.4103e+02 6.9554e-03 1.0000e+05
8.3438e-01 3.1663e+04 -7.4095e+02 6.9553e-03 1.0000e+05
8.4368e-01 3.1447e+04 -8.3712e+02 6.9557e-03 1.0000e+05
8.5405e-01 3.1593e+04 -7.8269e+02 6.9550e-03 1.0000e+05
8.6384e-01 3.1334e+04 -7.5758e+02 6.9561e-03 1.0000e+05
8.7394e-01 3.1187e+04 -9.8651e+02 6.9563e-03 1.0000e+05
8.8352e-01 3.1207e+04 -8.6994e+02 6.9560e-03 1.0000e+05
8.9392e-01 3.1001e+04 -7.3227e+02 6.9563e-03 1.0000e+05
9.0369e-01 3.1042e+04 -8.4440e+02 6.9552e-03 1.0000e+05
9.1376e-01 3.0937e+04 -6.8765e+02 6.9550e-03 1.0000e+05
9.2354e-01 3.0848e+04 -6.9633e+02 6.9569e-03 1.0000e+05
9.3370e-01 3.0853e+04 -8.2333e+02 6.9555e-03 1.0000e+05
9.4329e-01 3.0697e+04 -6.5363e+02 6.9560e-03 1.0000e+05
9.5346e-01 3.0619e+04 -8.1973e+02 6.9559e-03 1.0000e+05
9.6348e-01 3.0556e+04 -7.9601e+02 6.9554e-03 1.0000e+05
9.7343e-01 3.0510e+04 -7.4455e+02 6.9567e-03 1.0000e+05
9.8323e-01 3.0347e+04 -7.8213e+02 6.9564e-03 1.0000e+05
9.9435e-01 3.0287e+04 -6.6727e+02 6.9552e-03 1.0000e+05
1.0043e+00 3.0319e+04 -7.6289e+02 6.9565e-03 1.0000e+05
1.0042e+00 3.0354e+04 -7.0679e+02 6.9565e-03 1.0000e+05
9.9435e-01 3.0303e+04 -6.3320e+02 6.9562e-03 1.0000e+05
9.8327e-01 3.0417e+04 -8.7519e+02 6.9556e-03 1.0000e+05
9.7326e-01 3.0463e+04 -7.2506e+02 6.9574e-03 1.0000e+05
9.6350e-01 3.0513e+04 -8.5787e+02 6.9551e-03 1.0000e+05
9.5340e-01 3.0693e+04 -7.4675e+02 6.9558e-03 1.0000e+05
9.4351e-01 3.0636e+04 -7.7485e+02 6.9564e-03 1.0000e+05
9.3358e-01 3.0891e+04 -7.1660e+02 6.9548e-03 1.0000e+05
9.2359e-01 3.0821e+04 -8.0657e+02 6.9551e-03 1.0000e+05
9.1361e-01 3.0920e+04 -7.9335e+02 6.9557e-03 1.0000e+05
9.0354e-01 3.1054e+04 -6.4489e+02 6.9552e-03 1.0000e+05
8.9390e-01 3.1006e+04 -8.0575e+02 6.9568e-03 1.0000e+05
8.8366e-01 3.1303e+04 -7.7524e+02 6.9549e-03 1.0000e+05
8.7390e-01 3.1210e+04 -7.8244e+02 6.9554e-03 1.0000e+05
8.6396e-01 3.1284e+04 -7.5504e+02 6.9563e-03 1.0000e+05
8.5418e-01 3.1462e+04 -8.3202e+02 6.9550e-03 1.0000e+05
8.4391e-01 3.1418e+04 -7.4162e+02 6.9552e-03 1.0000e+05
8.3423e-01 3.1622e+04 -8.6872e+02 6.9558e-03 1.0000e+05
8.2395e-01 3.1737e+04 -7.6377e+02 6.9563e-03 1.0000e+05
8.1409e-01 3.1638e+04 -7.7470e+02 6.9566e-03 1.0000e+05
8.0398e-01 3.1807e+04 -9.2643e+02 6.9549e-03 1.0000e+05
7.9413e-01 3.2005e+04 -7.6457e+02 6.9559e-03 1.0000e+05
7.8401e-01 3.1950e+04 -9.2743e+02 6.9566e-03 1.0000e+05
7.7413e-01 3.2117e+04 -9.1607e+02 6.9581e-03 1.0000e+05
7.6427e-01 3.2341e+04 -8.0131e+02 6.9557e-03 1.0000e+05
7.5426e-01 3.2186e+04 -9.3865e+02 6.9567e-03 1.0000e+05
7.4435e-01 3.2561e+04 -8.5507e+02 6.9560e-03 1.0000e+05
7.3362e-01 3.2507e+04 -8.4376e+02 6.9574e-03 1.0000e+05
7.2345e-01 3.2494e+04 -8.6687e+02 6.9570e-03 1.0000e+05
7.1338e-01 3.2711e+04 -8.4271e+02 6.9566e-03 1.0000e+05
7.0370e-01 3.2697e+04 -8.7824e+02 6.9568e-03 1.0000e+05
6.9349e-01 3.2863e+04 -1.0499e+03 6.9550e-03 1.0000e+05
6.8370e-01 3.3038e+04 -9.0059e+02 6.9561e-03 1.0000e+05
6.7364e-01 3.3096e+04 -1.0050e+03 6.9565e-03 1.0000e+05
6.6370e-01 3.3180e+04 -1.0311e+03 6.9575e-03 1.0000e+05
6.5368e-01 3.3338e+04 -8.9967e+02 6.9553e-03 1.0000e+05
6.4416e-01 3.3561e+04 -1.0429e+03 6.9589e-03 1.0000e+05
6.3356e-01 3.3540e+04 -1.0306e+03 6.9571e-03 1.0000e+05
6.2400e-01 3.3708e+04 -9.6714e+02 6.9587e-03 1.0000e+05
6.1382e-01 3.3799e+04 -9.1728e+02 6.9579e-03 1.0000e+05
6.0407e-01 3.3894e+04 -1.1006e+03 6.9565e-03 1.0000e+05
5.9387e-01 3.4086e+04 -9.8635e+02 6.9577e-03 1.0000e+05
5.8436e-01 3.4143e+04 -1.0480e+03 6.9574e-03 1.0000e+05
5.7420e-01 3.4193e+04 -1.1318e+03 6.9569e-03 1.0000e+05
5.6403e-01 3.4548e+04 -1.0594e+03 6.9573e-03 1.0000e+05
5.5425e-01 3.4498e+04 -1.0363e+03 6.9577e-03 1.0000e+05
5.4450e-01 3.4629e+04 -1.1307e+03 6.9580e-03 1.0000e+05
