  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.661629                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
-8.4000e-01   -9.6057e-04   8.7448e+02
-8.3000e-01   -9.4426e-04   8.7899e+02
-8.2000e-01   -9.2800e-04   8.8362e+02
-8.1000e-01   -9.1178e-04   8.8837e+02
-8.0000e-01   -8.9559e-04   8.9327e+02
-7.9000e-01   -8.7944e-04   8.9830e+02
-7.8000e-01   -8.6345e-04   9.0336e+02
-7.7000e-01   -8.4737e-04   9.0869e+02
-7.6000e-01   -8.3138e-04   9.1415e+02
-7.5000e-01   -8.1537e-04   9.1983e+02
-7.4000e-01   -7.9943e-04   9.2566e+02
-7.3000e-01   -7.8353e-04   9.3168e+02
-7.2000e-01   -7.6779e-04   9.3776e+02
-7.1000e-01   -7.5199e-04   9.4416e+02
-7.0000e-01   -7.3623e-04   9.5079e+02
-6.9000e-01   -7.2051e-04   9.5765e+02
-6.8000e-01   -7.0486e-04   9.6473e+02
-6.7000e-01   -6.8925e-04   9.7207e+02
-6.6000e-01   -6.7370e-04   9.7967e+02
-6.5000e-01   -6.5831e-04   9.8737e+02
-6.4000e-01   -6.4288e-04   9.9552e+02
-6.3000e-01   -6.2750e-04   1.0040e+03
-6.2000e-01   -6.1218e-04   1.0128e+03
-6.1000e-01   -5.9692e-04   1.0219e+03
-6.0000e-01   -5.8183e-04   1.0312e+03
-5.9000e-01   -5.6671e-04   1.0411e+03
-5.8000e-01   -5.5164e-04   1.0514e+03
-5.7000e-01   -5.3665e-04   1.0621e+03
-5.6000e-01   -5.2186e-04   1.0731e+03
-5.5000e-01   -5.0703e-04   1.0847e+03
-5.4000e-01   -4.9225e-04   1.0970e+03
-5.3000e-01   -4.7760e-04   1.1097e+03
-5.2000e-01   -4.6301e-04   1.1231e+03
-5.1000e-01   -4.4862e-04   1.1368e+03
-5.0000e-01   -4.3422e-04   1.1515e+03
-4.9000e-01   -4.1991e-04   1.1669e+03
-4.8000e-01   -4.0570e-04   1.1831e+03
-4.7000e-01   -3.9171e-04   1.1999e+03
-4.6000e-01   -3.7773e-04   1.2178e+03
-4.5000e-01   -3.6385e-04   1.2368e+03
-4.4000e-01   -3.5009e-04   1.2568e+03
-4.3000e-01   -3.3653e-04   1.2778e+03
-4.2000e-01   -3.2302e-04   1.3002e+03
-4.1000e-01   -3.0963e-04   1.3242e+03
-4.0000e-01   -2.9639e-04   1.3496e+03
-3.9000e-01   -2.8339e-04   1.3762e+03
-3.8000e-01   -2.7045e-04   1.4051e+03
-3.7000e-01   -2.5766e-04   1.4360e+03
-3.6000e-01   -2.4504e-04   1.4692e+03
-3.5000e-01   -2.3267e-04   1.5043e+03
-3.4000e-01   -2.2042e-04   1.5425e+03
-3.3000e-01   -2.0834e-04   1.5840e+03
-3.2000e-01   -1.9649e-04   1.6286e+03
-3.1000e-01   -1.8484e-04   1.6772e+03
-3.0000e-01   -1.7351e-04   1.7290e+03
-2.9000e-01   -1.6232e-04   1.7866e+03
-2.8000e-01   -1.5139e-04   1.8495e+03
-2.7000e-01   -1.4073e-04   1.9186e+03
-2.6000e-01   -1.3034e-04   1.9948e+03
-2.5000e-01   -1.2033e-04   2.0777e+03
-2.4000e-01   -1.1055e-04   2.1711e+03
-2.3000e-01   -1.0109e-04   2.2752e+03
-2.2000e-01   -9.1898e-05   2.3940e+03
-2.1000e-01   -8.3167e-05   2.5250e+03
-2.0000e-01   -7.4868e-05   2.6714e+03
