t (s),V (mV)
0,11.9941
1.049,11.9702
2.1,11.9445
3.15,11.9186
4.179,11.8891
5.174,11.8609
6.174,11.8329
7.176,11.8025
8.174,11.7746
9.174,11.7457
10.179,11.7162
11.175,11.6883
12.174,11.6587
13.174,11.6286
14.174,11.6005
15.175,11.5706
16.174,11.5415
17.174,11.5126
18.174,11.4843
19.174,11.4553
20.175,11.4262
21.175,11.3977
22.174,11.3698
23.174,11.3413
24.175,11.3124
25.175,11.2842
26.174,11.255
27.174,11.2269
28.174,11.1998
29.175,11.1719
30.175,11.1433
31.174,11.1164
32.175,11.089
33.174,11.0608
34.174,11.0336
35.175,11.0054
36.174,10.9801
37.175,10.9515
38.174,10.9244
39.174,10.8986
40.174,10.8722
41.175,10.8434
42.174,10.8185
43.174,10.7926
44.175,10.764
45.175,10.7383
46.174,10.7131
47.174,10.6866
48.174,10.6606
49.175,10.6335
50.175,10.6076
51.174,10.5816
52.173,10.5554
53.173,10.5285
54.174,10.5022
55.173,10.4772
56.173,10.4518
57.173,10.4247
58.174,10.3993
59.173,10.3742
60.174,10.3497
61.173,10.3239
62.173,10.2983
63.173,10.2733
64.173,10.2481
65.173,10.2233
66.174,10.1975
67.173,10.1739
68.174,10.1485
69.173,10.124
70.173,10.0991
71.173,10.0756
72.173,10.0505
73.174,10.0259
74.173,10.0022
75.174,9.9772
76.174,9.9533
77.175,9.9287
78.174,9.9043
79.174,9.88
80.174,9.8559
81.175,9.8318
82.174,9.8083
83.174,9.7834
84.174,9.7604
85.175,9.7355
86.175,9.7118
87.174,9.6888
88.179,9.6643
89.174,9.642
90.174,9.6174
91.174,9.5945
92.174,9.5697
93.174,9.5472
94.179,9.5233
95.175,9.5014
96.175,9.4783
97.174,9.4558
98.174,9.4317
99.174,9.4088
100.175,9.3855
101.174,9.3632
102.175,9.3401
103.174,9.3176
104.175,9.2947
105.174,9.2716
106.175,9.2496
107.174,9.2264
108.174,9.2055
109.174,9.181
110.174,9.1579
111.175,9.1353
112.174,9.1134
113.175,9.0908
114.174,9.0683
115.174,9.046
116.175,9.0235
117.174,9.0003
118.179,8.9778
119.174,8.9552
120.175,8.9331
121.174,8.9105
122.175,8.8896
123.174,8.8673
124.175,8.847
125.175,8.8251
126.174,8.8036
127.175,8.7823
128.174,8.761
129.174,8.7391
130.179,8.7191
131.174,8.6967
132.175,8.6754
133.174,8.655
134.175,8.634
135.174,8.6131
136.174,8.592
137.175,8.5702
138.174,8.5499
139.174,8.5302
140.175,8.5094
141.174,8.4886
142.175,8.4682
143.174,8.4469
144.175,8.4273
145.174,8.406
146.174,8.3862
147.175,8.3663
148.174,8.3465
149.174,8.3256
150.174,8.3063
151.175,8.2863
152.174,8.2663
153.174,8.2451
154.179,8.2276
155.175,8.2063
156.174,8.1866
157.175,8.1664
158.174,8.1467
159.175,8.1276
160.174,8.1087
161.175,8.0884
162.174,8.0691
163.175,8.0483
164.175,8.0298
165.174,8.0099
166.175,7.9892
167.174,7.9707
168.175,7.9506
169.174,7.9322
170.174,7.9135
171.174,7.8941
172.174,7.8741
173.174,7.8555
174.174,7.8356
175.174,7.8176
176.175,7.7987
177.175,7.7806
178.179,7.7623
179.174,7.7433
180.174,7.7235
181.174,7.7052
182.174,7.6865
183.175,7.6685
184.174,7.6493
185.175,7.6315
186.174,7.613
187.174,7.5953
188.175,7.5773
189.174,7.5593
190.174,7.5409
191.174,7.5226
192.174,7.5047
193.174,7.4877
194.174,7.4693
195.174,7.4507
196.174,7.4323
197.174,7.4155
198.174,7.3977
199.174,7.3809
200.174,7.3634
201.175,7.3451
202.179,7.3286
203.174,7.3093
204.174,7.2926
205.175,7.275
206.174,7.2577
207.174,7.2408
208.181,7.2229
209.174,7.2055
210.174,7.1885
211.175,7.1717
212.174,7.1543
213.175,7.1366
214.174,7.1208
215.174,7.1009
216.175,7.0862
217.175,7.0083
218.174,7.0274
219.174,6.983
220.174,6.9469
221.174,6.9231
222.174,6.901
223.174,6.8875
224.175,6.8689
225.175,6.8497
226.18,6.8309
227.175,6.8146
228.175,6.7972
229.175,6.7804
230.175,6.7619
231.174,6.7451
232.174,6.7272
233.175,6.7108
234.175,6.6935
235.174,6.6777
236.174,6.6613
237.174,6.6448
238.18,6.6261
239.174,6.6127
240.174,6.597
241.175,6.58
242.175,6.5644
243.174,6.5483
244.174,6.5328
245.174,6.5174
246.174,6.501
247.174,6.4856
248.174,6.4694
249.174,6.4534
250.175,6.4376
251.174,6.422
252.174,6.4036
253.174,6.3876
254.174,6.3708
255.174,6.3566
256.174,6.3429
257.174,6.3266
258.175,6.3118
259.174,6.2959
260.174,6.2811
261.175,6.2659
262.174,6.2501
263.174,6.2349
264.175,6.2181
265.174,6.2046
266.174,6.1893
267.174,6.1737
268.174,6.1594
269.174,6.1443
270.174,6.1289
271.174,6.1139
272.174,6.0987
273.174,6.0845
274.174,6.0695
