t (s),V (mV)
0,13.4944
1,13.4817
2,13.4692
3,13.4556
4,13.4418
4.999,13.4272
5.999,13.4109
7,13.3953
8,13.3789
8.999,13.3614
10,13.3443
11,13.3274
11.999,13.3099
12.999,13.2932
14,13.2766
14.999,13.2582
16,13.241
17,13.2227
17.999,13.2055
18.999,13.188
19.999,13.1693
20.999,13.151
21.999,13.1349
23.004,13.1186
24,13.1009
24.999,13.0835
26,13.066
26.999,13.0484
27.999,13.0299
29,13.0123
29.999,12.9952
30.999,12.9782
32,12.9613
33,12.9423
33.999,12.926
35,12.9086
35.999,12.8902
36.999,12.8733
38,12.8563
38.999,12.838
40,12.8211
40.999,12.8033
42,12.7864
42.999,12.7681
43.999,12.7525
44.999,12.7342
45.999,12.7181
47.004,12.7003
48,12.6842
49,12.6656
50,12.6473
50.999,12.6307
52,12.6142
53.004,12.597
54,12.5809
54.999,12.5625
55.999,12.5454
57,12.5298
57.999,12.5138
59,12.4969
59.999,12.4807
60.999,12.4638
61.999,12.447
63,12.43
63.999,12.4138
65.004,12.3929
65.999,12.3781
67,12.3633
67.999,12.3472
69,12.3307
69.999,12.314
71,12.2982
71.999,12.2815
72.999,12.2647
74,12.2493
75,12.2325
75.999,12.216
77.004,12.2011
77.999,12.1844
79,12.1683
79.999,12.1512
80.999,12.1355
81.999,12.1187
83.005,12.1039
84,12.0881
84.999,12.0581
86,12.0233
86.999,12.0071
88,11.9908
88.999,11.9761
90,11.9596
90.999,11.9441
92,11.9277
93,11.9126
94,11.898
95,11.883
95.999,11.8673
96.999,11.8515
97.999,11.8356
98.999,11.8204
100,11.8034
100.999,11.7888
101.999,11.7743
102.999,11.7591
103.999,11.7426
104.999,11.7274
105.999,11.7125
107.005,11.699
107.999,11.6828
108.999,11.6659
109.999,11.6511
111,11.6356
111.999,11.6204
113.004,11.6071
113.999,11.5909
114.999,11.5756
115.999,11.5602
117,11.5461
117.999,11.5308
118.999,11.5155
119.999,11.5009
121,11.4844
121.999,11.4701
123,11.4558
123.999,11.4407
125.004,11.427
125.999,11.4117
127,11.3964
127.999,11.3843
129,11.3654
129.999,11.3515
131.004,11.3354
132,11.3228
132.999,11.3079
134,11.2934
135,11.2795
135.999,11.2633
137,11.2505
137.999,11.2344
139,11.2186
140,11.2048
140.999,11.1888
141.999,11.1748
142.999,11.1611
144,11.146
145.001,11.1319
146,11.1168
146.999,11.1018
148,11.0887
149.005,11.0722
150,11.0596
150.999,11.044
152,11.0308
152.999,11.017
153.999,11.0023
155.004,10.9862
156,10.974
156.999,10.9606
158,10.9445
158.999,10.9315
159.999,10.9163
160.999,10.902
161.999,10.8885
163,10.8742
164,10.8598
164.999,10.846
165.999,10.8317
167,10.8168
168,10.8039
168.999,10.7893
170,10.7759
170.999,10.7618
172,10.7473
173,10.734
173.999,10.7203
174.999,10.7068
176,10.6926
176.999,10.6795
177.999,10.6664
179.004,10.6505
180,10.6383
180.999,10.6247
181.999,10.612
182.998,10.5983
183.998,10.5853
185.004,10.57
185.998,10.558
186.998,10.5442
187.998,10.5309
188.998,10.5179
189.998,10.5044
190.999,10.4915
191.999,10.4775
192.998,10.4653
193.998,10.4525
194.998,10.4387
195.999,10.4255
196.998,10.4124
197.998,10.399
198.998,10.3871
199.998,10.3736
200.999,10.3606
201.999,10.348
203.003,10.3339
203.998,10.3224
204.998,10.3098
205.998,10.2971
206.999,10.284
207.998,10.2712
208.998,10.2586
209.999,10.2453
210.998,10.2326
211.998,10.2194
212.999,10.2063
213.998,10.194
214.998,10.1816
215.998,10.1686
216.999,10.1562
218,10.1435
218.998,10.1303
219.998,10.1181
220.999,10.1055
221.998,10.093
222.998,10.0801
223.998,10.0665
224.998,10.0543
225.998,10.0411
226.998,10.0281
227.998,10.016
228.999,10.0027
229.999,9.9885
231,9.9762
231.999,9.9635
232.999,9.9508
233.999,9.9379
235,9.9256
235.999,9.9127
237,9.8999
237.999,9.8871
239,9.8744
239.999,9.8616
241,9.8496
241.999,9.8376
242.999,9.8251
243.999,9.8125
245,9.8002
245.999,9.7881
246.999,9.7765
