t (s),V (mV)
247.999,9.7643
248.999,9.7507
249.999,9.738
251.004,9.7266
251.999,9.7167
253,9.7022
253.999,9.6892
254.999,9.6771
256,9.6652
256.999,9.6532
257.999,9.6409
259,9.6291
259.999,9.6155
260.999,9.6033
261.999,9.593
263,9.5802
263.999,9.5684
265,9.5558
265.999,9.5441
267,9.5325
267.999,9.5196
268.999,9.5046
269.999,9.4955
271,9.4832
271.999,9.4708
272.999,9.4588
273.999,9.4478
275.004,9.4359
276,9.4228
276.999,9.411
278,9.3992
278.999,9.3871
279.999,9.3753
281,9.3634
282,9.3501
282.999,9.3408
284,9.3285
284.999,9.3163
285.999,9.3052
287,9.2943
287.999,9.282
289,9.2721
289.999,9.2587
291,9.2472
291.999,9.2362
293,9.2236
293.999,9.2125
295,9.1999
296,9.1901
297,9.1771
298,9.1657
298.999,9.1541
299.999,9.1427
300.999,9.1308
302,9.1182
303,9.1073
303.999,9.0968
305,9.0845
305.999,9.0717
306.999,9.061
307.999,9.0501
308.999,9.0388
309.999,9.0269
311,9.0157
311.999,9.0042
313,8.9937
314,8.9837
314.999,8.9714
316,8.9583
316.999,8.9483
317.999,8.9377
319,8.9254
320,8.914
320.999,8.9033
321.999,8.8925
323,8.8803
324,8.8693
324.999,8.8585
325.999,8.8475
327,8.836
327.999,8.8258
329,8.8135
330,8.803
330.999,8.7917
331.999,8.7817
333,8.7705
333.999,8.7591
335,8.7476
335.999,8.7372
337,8.7264
337.999,8.7155
338.999,8.7052
339.999,8.6939
341.005,8.6831
341.999,8.6721
343,8.6607
344,8.6505
344.999,8.641
345.999,8.63
347.005,8.6187
347.999,8.608
349,8.5976
350,8.5858
351,8.575
352,8.5649
352.999,8.555
353.999,8.5435
355,8.5328
355.999,8.5224
356.999,8.5114
358,8.5003
359.004,8.4875
360,8.4784
360.999,8.4673
362,8.4581
362.999,8.4461
364,8.4359
365,8.4264
365.999,8.4159
367,8.4047
367.999,8.3935
368.999,8.3833
369.999,8.3727
371,8.363
372,8.3516
373,8.34
374,8.3292
374.999,8.3186
375.999,8.3083
377,8.298
377.999,8.2868
378.999,8.276
380,8.2659
380.999,8.2553
382,8.2451
383,8.2343
383.999,8.2235
385,8.2145
385.999,8.2044
387,8.1939
387.999,8.1835
389,8.1731
389.999,8.1631
391,8.1523
391.999,8.1425
393,8.1327
393.999,8.1232
395.004,8.1118
395.999,8.1024
397,8.0924
398,8.0816
399,8.0715
400,8.0611
400.999,8.0512
401.999,8.0415
402.999,8.0308
404,8.0216
404.999,8.0116
405.999,8.0018
406.999,7.9918
407.999,7.9808
408.999,7.9713
409.999,7.9608
411,7.9509
411.999,7.9414
413.004,7.9309
413.999,7.9213
414.999,7.9122
416,7.9022
416.999,7.892
417.999,7.8822
419.005,7.8711
419.999,7.8621
420.999,7.852
421.999,7.8433
423,7.8331
423.999,7.8229
424.999,7.8128
426,7.8038
426.999,7.793
428,7.7827
428.999,7.7735
429.999,7.7641
430.999,7.7539
431.999,7.7447
432.999,7.7338
434,7.7254
434.999,7.7156
435.999,7.706
436.999,7.696
437.999,7.6865
438.999,7.6772
440,7.6674
440.999,7.6573
442,7.6487
442.999,7.6388
444,7.6291
444.999,7.6185
446,7.6103
446.999,7.5994
448,7.5907
449,7.5821
449.999,7.5721
450.999,7.5627
451.999,7.5536
452.999,7.5434
454,7.5342
455,7.5245
455.999,7.5157
456.999,7.5083
458.001,7.4998
458.999,7.4881
459.999,7.4793
460.999,7.4697
462,7.4607
462.999,7.4517
463.999,7.4421
464.999,7.4332
466,7.4246
466.999,7.4144
468,7.4054
468.999,7.396
469.999,7.3872
470.999,7.3769
472,7.3685
473,7.3592
473.999,7.3505
474.999,7.3415
476,7.3322
476.999,7.3235
477.999,7.3147
478.999,7.305
479.999,7.2967
480.999,7.2866
482,7.2768
482.999,7.2695
483.999,7.2605
485.005,7.2499
485.999,7.242
486.999,7.2333
488,7.2241
488.999,7.2152
490,7.2064
490.999,7.1991
492,7.1896
492.999,7.181
493.999,7.1722
494.999,7.1634
495.999,7.1543
496.999,7.1462
498,7.137
499,7.1282
500,7.1193
500.999,7.1109
502,7.1027
503,7.0938
503.999,7.0845
504.999,7.0748
506,7.0669
506.999,7.0572
508,7.0479
508.999,7.0398
509.999,7.0311
510.999,7.022
511.999,7.0133
513,7.0054
513.999,6.9952
514.999,6.9882
516,6.9792
516.999,6.9698
517.999,6.9609
518.999,6.9518
519.999,6.9434
521.004,6.9331
521.999,6.9269
523,6.9175
523.999,6.9094
524.999,6.9005
525.999,6.8927
526.999,6.8836
528,6.8743
528.999,6.8659
529.999,6.858
530.999,6.8496
531.999,6.841
533.003,6.8317
533.999,6.8245
534.999,6.8166
536,6.8077
536.999,6.7995
537.999,6.7911
538.999,6.7821
539.999,6.7741
541,6.7667
541.999,6.7581
543,6.7491
544,6.7415
545.004,6.7324
545.999,6.7249
546.999,6.7169
548,6.7091
548.999,6.7009
550,6.6924
550.999,6.6848
551.999,6.6762
552.999,6.6682
553.999,6.6599
554.999,6.6515
556,6.6435
556.999,6.6353
