,,,T,V
Record Length,2500,,-0.5,20
Sample Interval,0.002,,-0.498,0
Trigger Point,250,,-0.496,0
,,,-0.494,0
,,,-0.492,40
,,,-0.49,20
Source,CH1,,-0.488,20
Vertical Units,V,,-0.486,0
Vertical Scale,500,,-0.484,0
Vertical Offset,-1120,,-0.482,0
Horizontal Units,s,,-0.48,0
Horizontal Scale,0.5,,-0.478,0
Pt Fmt,Y,,-0.476,0
Yzero,0,,-0.474,0
Probe Atten,1000,,-0.472,0
Model Number,TDS2014C,,-0.47,0
Serial Number,C014547,,-0.468,0
Firmware Version,FV:v24.18 rus,,-0.466,0
,,,-0.464,20
,,,-0.462,0
,,,-0.46,0
,,,-0.458,20
,,,-0.456,0
,,,-0.454,0
,,,-0.452,0
,,,-0.45,0
,,,-0.448,0
,,,-0.446,0
,,,-0.444,0
,,,-0.442,20
,,,-0.44,0
,,,-0.438,0
,,,-0.436,0
,,,-0.434,0
,,,-0.432,0
,,,-0.43,0
,,,-0.428,0
,,,-0.426,0
,,,-0.424,20
,,,-0.422,0
,,,-0.42,0
,,,-0.418,0
,,,-0.416,0
,,,-0.414,0
,,,-0.412,-20
,,,-0.41,20
,,,-0.408,20
,,,-0.406,0
,,,-0.404,0
,,,-0.402,0
,,,-0.4,0
,,,-0.398,0
,,,-0.396,0
,,,-0.394,20
,,,-0.392,0
,,,-0.39,0
,,,-0.388,0
,,,-0.386,0
,,,-0.384,0
,,,-0.382,0
,,,-0.38,0
,,,-0.378,0
,,,-0.376,20
,,,-0.374,20
,,,-0.372,20
,,,-0.37,0
,,,-0.368,20
,,,-0.366,0
,,,-0.364,0
,,,-0.362,0
,,,-0.36,0
,,,-0.358,0
,,,-0.356,20
,,,-0.354,0
,,,-0.352,0
,,,-0.35,0
,,,-0.348,20
,,,-0.346,20
,,,-0.344,0
,,,-0.342,0
,,,-0.34,0
,,,-0.338,0
,,,-0.336,20
,,,-0.334,0
,,,-0.332,0
,,,-0.33,0
,,,-0.328,20
,,,-0.326,0
,,,-0.324,0
,,,-0.322,0
,,,-0.32,0
,,,-0.318,0
,,,-0.316,0
,,,-0.314,0
,,,-0.312,0
,,,-0.31,20
,,,-0.308,0
,,,-0.306,0
,,,-0.304,0
,,,-0.302,0
,,,-0.3,0
,,,-0.298,20
,,,-0.296,20
,,,-0.294,0
,,,-0.292,0
,,,-0.29,0
,,,-0.288,0
,,,-0.286,0
,,,-0.284,-20
,,,-0.282,0
,,,-0.28,20
,,,-0.278,0
,,,-0.276,0
,,,-0.274,20
,,,-0.272,0
,,,-0.27,0
,,,-0.268,0
,,,-0.266,0
,,,-0.264,0
,,,-0.262,0
,,,-0.26,0
,,,-0.258,20
,,,-0.256,0
,,,-0.254,-20
,,,-0.252,0
,,,-0.25,-20
,,,-0.248,0
,,,-0.246,0
,,,-0.244,0
,,,-0.242,20
,,,-0.24,0
,,,-0.238,0
,,,-0.236,0
,,,-0.234,20
,,,-0.232,-20
,,,-0.23,0
,,,-0.228,0
,,,-0.226,0
,,,-0.224,0
,,,-0.222,0
,,,-0.22,0
,,,-0.218,0
,,,-0.216,0
,,,-0.214,0
,,,-0.212,0
,,,-0.21,0
,,,-0.208,0
,,,-0.206,0
,,,-0.204,0
,,,-0.202,0
,,,-0.2,0
,,,-0.198,20
,,,-0.196,0
,,,-0.194,0
,,,-0.192,0
,,,-0.19,-20
,,,-0.188,20
,,,-0.186,20
,,,-0.184,0
,,,-0.182,0
,,,-0.18,20
,,,-0.178,0
,,,-0.176,0
,,,-0.174,0
,,,-0.172,0
,,,-0.17,0
,,,-0.168,0
,,,-0.166,0
,,,-0.164,0
,,,-0.162,20
,,,-0.16,0
,,,-0.158,0
,,,-0.156,0
,,,-0.154,0
,,,-0.152,20
,,,-0.15,0
,,,-0.148,0
,,,-0.146,0
,,,-0.144,20
,,,-0.142,0
,,,-0.14,20
,,,-0.138,0
,,,-0.136,0
,,,-0.134,20
,,,-0.132,0
,,,-0.13,-20
,,,-0.128,0
,,,-0.126,0
,,,-0.124,0
,,,-0.122,0
,,,-0.12,0
,,,-0.118,0
,,,-0.116,0
,,,-0.114,0
,,,-0.112,20
,,,-0.11,0
,,,-0.108,0
,,,-0.106,0
,,,-0.104,20
,,,-0.102,20
,,,-0.1,0
,,,-0.098,0
,,,-0.096,0
,,,-0.094,0
,,,-0.092,-20
,,,-0.09,20
,,,-0.088,0
,,,-0.086,20
,,,-0.084,0
,,,-0.082,0
,,,-0.08,0
,,,-0.078,0
,,,-0.076,0
,,,-0.074,-20
,,,-0.072,0
,,,-0.07,0
,,,-0.068,0
,,,-0.066,0
,,,-0.064,0
,,,-0.062,20
,,,-0.06,80
,,,-0.058,120
,,,-0.056,120
,,,-0.054,160
,,,-0.052,160
,,,-0.05,180
,,,-0.048,220
,,,-0.046,240
,,,-0.044,260
,,,-0.042,260
,,,-0.04,300
,,,-0.038,300
,,,-0.036,340
,,,-0.034,360
,,,-0.032,360
,,,-0.03,400
,,,-0.028,400
,,,-0.026,440
,,,-0.024,440
,,,-0.022,460
,,,-0.02,480
,,,-0.018,500
,,,-0.016,520
,,,-0.014,540
,,,-0.012,560
,,,-0.01,560
,,,-0.008,580
,,,-0.006,600
,,,-0.004,620
,,,-0.002,640
,,,0,660
,,,0.002,680
,,,0.004,680
,,,0.006,700
,,,0.008,720
,,,0.01,720
,,,0.012,740
,,,0.014,760
,,,0.016,780
,,,0.018,820
,,,0.02,800
,,,0.022,820
,,,0.024,840
,,,0.026,860
,,,0.028,880
,,,0.03,880
,,,0.032,900
,,,0.034,900
,,,0.036,940
,,,0.038,940
,,,0.04,940
,,,0.042,980
,,,0.044,980
,,,0.046,980
,,,0.048,1000
,,,0.05,1040
,,,0.052,1040
,,,0.054,1060
,,,0.056,1060
,,,0.058,1060
,,,0.06,1080
,,,0.062,1100
,,,0.064,1120
,,,0.066,1120
,,,0.068,1140
,,,0.07,1160
,,,0.072,1160
,,,0.074,1180
,,,0.076,1180
,,,0.078,1180
,,,0.08,1200
,,,0.082,1200
,,,0.084,1220
,,,0.086,1240
,,,0.088,1260
,,,0.09,1260
,,,0.092,1280
,,,0.094,1300
,,,0.096,1300
,,,0.098,1320
,,,0.1,1320
,,,0.102,1320
,,,0.104,1320
,,,0.106,1340
,,,0.108,1360
,,,0.11,1360
,,,0.112,1360
,,,0.114,1380
,,,0.116,1400
,,,0.118,1380
,,,0.12,1400
,,,0.122,1420
,,,0.124,1440
,,,0.126,1460
,,,0.128,1440
,,,0.13,1460
,,,0.132,1460
,,,0.134,1480
,,,0.136,1500
,,,0.138,1500
,,,0.14,1500
,,,0.142,1500
,,,0.144,1520
,,,0.146,1560
,,,0.148,1540
,,,0.15,1560
,,,0.152,1540
,,,0.154,1560
,,,0.156,1560
,,,0.158,1600
,,,0.16,1600
,,,0.162,1580
,,,0.164,1600
,,,0.166,1620
,,,0.168,1620
,,,0.17,1620
,,,0.172,1660
,,,0.174,1640
,,,0.176,1640
,,,0.178,1640
,,,0.18,1660
,,,0.182,1680
,,,0.184,1680
,,,0.186,1680
,,,0.188,1700
,,,0.19,1700
,,,0.192,1700
,,,0.194,1700
,,,0.196,1700
,,,0.198,1720
,,,0.2,1740
,,,0.202,1720
,,,0.204,1720
,,,0.206,1740
,,,0.208,1760
,,,0.21,1760
,,,0.212,1760
,,,0.214,1780
,,,0.216,1780
,,,0.218,1780
,,,0.22,1800
,,,0.222,1820
,,,0.224,1800
,,,0.226,1820
,,,0.228,1800
,,,0.23,1800
,,,0.232,1840
,,,0.234,1840
,,,0.236,1820
,,,0.238,1840
,,,0.24,1840
,,,0.242,1840
,,,0.244,1860
,,,0.246,1860
,,,0.248,1860
,,,0.25,1880
,,,0.252,1880
,,,0.254,1880
,,,0.256,1900
,,,0.258,1900
,,,0.26,1900
,,,0.262,1900
,,,0.264,1900
,,,0.266,1900
,,,0.268,1900
,,,0.27,1900
,,,0.272,1940
,,,0.274,1920
,,,0.276,1940
,,,0.278,1940
,,,0.28,1940
,,,0.282,1940
,,,0.284,1940
,,,0.286,1940
,,,0.288,1960
,,,0.29,1960
,,,0.292,1980
,,,0.294,1960
,,,0.296,1980
,,,0.298,1980
,,,0.3,1980
,,,0.302,1980
,,,0.304,1980
,,,0.306,2000
,,,0.308,2000
,,,0.31,2000
,,,0.312,2000
,,,0.314,2020
,,,0.316,2020
,,,0.318,2020
,,,0.32,2020
,,,0.322,2020
,,,0.324,2020
,,,0.326,2040
,,,0.328,2040
,,,0.33,2040
,,,0.332,2040
,,,0.334,2040
,,,0.336,2060
,,,0.338,2040
,,,0.34,2060
,,,0.342,2080
,,,0.344,2080
,,,0.346,2080
,,,0.348,2080
,,,0.35,2080
,,,0.352,2080
,,,0.354,2060
,,,0.356,2100
,,,0.358,2080
,,,0.36,2080
,,,0.362,2100
,,,0.364,2100
,,,0.366,2100
,,,0.368,2120
,,,0.37,2100
,,,0.372,2100
,,,0.374,2100
,,,0.376,2100
,,,0.378,2120
,,,0.38,2120
,,,0.382,2140
,,,0.384,2120
,,,0.386,2120
,,,0.388,2140
,,,0.39,2120
,,,0.392,2140
,,,0.394,2120
,,,0.396,2140
,,,0.398,2140
,,,0.4,2140
