U,U_div,I,I_div
-9,0.2,-25,0.02
-8.5,0.2,0,0.02
-8,0.2,22,0.02
-7.5,0.2,23,0.02
-7,0.2,23.5,0.02
-6.5,0.2,23.75,0.02
-6,0.2,23.85,0.02
-5.5,0.2,23.9,0.02
-5,0.2,24,0.02
-4,0.2,24.03,0.02
-3,0.2,24.06,0.02
-2,0.2,24.09,0.02
-1,0.2,24.11,0.02
0,0.2,24.14,0.02
1,0.2,24.17,0.02
2,0.2,24.20,0.02
3,0.2,24.23,0.02
4,0.2,24.26,0.02
5,0.2,24.29,0.02
6,0.2,24.31,0.02
7,0.2,24.34,0.02
8,0.2,24.37,0.02
9,0.2,24.40,0.02
10,0.2,24.43,0.02
11,0.2,24.46,0.02
12,0.2,24.49,0.02
13,0.2,24.51,0.02
14,0.2,24.54,0.02
15,0.2,24.57,0.02
16,0.2,24.60,0.02
17,0.2,24.63,0.02
18,0.2,24.66,0.02
19,0.2,24.69,0.02
20,0.2,24.71,0.02
21,0.2,24.74,0.02
22,0.2,24.77,0.02
23,0.2,24.80,0.02
24,0.2,24.83,0.02
25,0.2,24.86,0.02
26,0.2,24.89,0.02
27,0.2,24.91,0.02
28,0.2,24.94,0.02
29,0.2,24.97,0.02
30,0.2,25,0.02
