U,U_div,I,I_div
-18,0.02,-5,0.2
-17,0.02,-5,0.2
-16,0.02,-5,0.2
-15,0.02,-5,0.2
-14,0.02,-5,0.2
-13,0.02,-5,0.2
-12,0.02,-5,0.2
-11,0.02,-5,0.2
-10,0.02,-4.8,0.2
-9,0.02,-4.7,0.2
-8,0.02,-4.75,0.2
-7,0.02,-4.6,0.2
-6,0.02,-4.5,0.2
-5,0.02,-4.45,0.2
-4,0.02,-4.45,0.2
-3,0.02,-4.4,0.2
-2,0.02,-4.3,0.2
-1,0.02,-4.25,0.2
0,0.02,-4.22,0.2
1,0.02,-4.18,0.2
2,0.02,-4.13,0.2
3,0.02,-4.13,0.2
4,0.02,-4.1,0.2
5,0.02,-4.08,0.2
6,0.02,-4.06,0.2
7,0.02,-4.04,0.2
8,0.02,-4.02,0.2
9,0.02,-4.01,0.2
10,0.02,-4,0.2
11,0.02,-3.8,0.2
12,0.02,-3.5,0.2
13,0.02,-2.5,0.2
14,0.02,0,0.2
15,0.02,2.5,0.2
16,0.02,6,0.2
17,0.02,19,0.2
