U,U_div,I,I_div
-18,0.01,-24.5,1
-17,0.01,-24.44,1
-16,0.01,-24.38,1
-15,0.01,-24.31,1
-14,0.01,-24.25,1
-13,0.01,-24.19,1
-12,0.01,-24.13,1
-11,0.01,-24.06,1
-10,0.01,-24,1
-9,0.01,-23.88,1
-8,0.01,-23.75,1
-7,0.01,-23.63,1
-6,0.01,-23.5,1
-5,0.01,-23.4,1
-4,0.01,-23.2,1
-3,0.01,-23,1
-2,0.01,-22.8,1
-1,0.01,-22.5,1
0,0.01,-21.9,1
1,0.01,-21,1
2,0.01,-20,1
3,0.01,-19,1
4,0.01,-17,1
5,0.01,-15,1
6,0.01,-13,1
7,0.01,-11,1
8,0.01,-7.5,1
9,0.01,-5,1
10,0.01,-3,1
11,0.01,1.5,1
12,0.01,3.5,1
