U,U_div,I,I_div
0,0.04,-25,0.02
1,0.04,-25,0.02
2,0.04,-25,0.02
3,0.04,-25,0.02
4,0.04,-25,0.02
5,0.04,-25,0.02
6,0.04,-25,0.02
7,0.04,-25,0.02
8,0.04,-25,0.02
9,0.04,-25,0.02
10,0.04,-25,0.02
11,0.04,-25,0.02
12,0.04,-24.5,0.02
13,0.04,-24,0.02
14,0.04,-23.5,0.02
15,0.04,-22,0.02
16,0.04,-12.5,0.02
17,0.04,5,0.02
17.5,0.04,15,0.02
18,0.04,25,0.02
