U,U_div,I,I_div
1,0.04,-10,1
2,0.04,-10,1
3,0.04,-10,1
4,0.04,-10,1
5,0.04,-10,1
6,0.04,-10,1
7,0.04,-10,1
8,0.04,-10,1
9,0.04,-10,1
10,0.04,-10,1
11,0.04,-10,1
12,0.04,-10,1
13,0.04,-10,1
14,0.04,-9.5,1
15,0.04,-9,1
16,0.04,-8,1
17,0.04,-4,1
17.5,0.04,0,1
18,0.04,2.5,1
18.5,0.04,6,1
19,0.04,10,1
19.5,0.04,12.5,1
20,0.04,18,1
