Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
2500,0.001,510,CH1,V,500,-1620,s,0.25,Y,0,1000,TDS2014C,C014547,FV:v24.18 rus,-0.51,20
,,,,,,,,,,,,,,,-0.509,20
,,,,,,,,,,,,,,,-0.508,0
,,,,,,,,,,,,,,,-0.507,0
,,,,,,,,,,,,,,,-0.506,20
,,,,,,,,,,,,,,,-0.505,20
,,,,,,,,,,,,,,,-0.504,20
,,,,,,,,,,,,,,,-0.503,0
,,,,,,,,,,,,,,,-0.502,0
,,,,,,,,,,,,,,,-0.501,20
,,,,,,,,,,,,,,,-0.5,0
,,,,,,,,,,,,,,,-0.499,0
,,,,,,,,,,,,,,,-0.498,0
,,,,,,,,,,,,,,,-0.497,20
,,,,,,,,,,,,,,,-0.496,20
,,,,,,,,,,,,,,,-0.495,0
,,,,,,,,,,,,,,,-0.494,20
,,,,,,,,,,,,,,,-0.493,0
,,,,,,,,,,,,,,,-0.492,20
,,,,,,,,,,,,,,,-0.491,0
,,,,,,,,,,,,,,,-0.49,20
,,,,,,,,,,,,,,,-0.489,20
,,,,,,,,,,,,,,,-0.488,20
,,,,,,,,,,,,,,,-0.487,20
,,,,,,,,,,,,,,,-0.486,20
,,,,,,,,,,,,,,,-0.485,20
,,,,,,,,,,,,,,,-0.484,0
,,,,,,,,,,,,,,,-0.483,20
,,,,,,,,,,,,,,,-0.482,20
,,,,,,,,,,,,,,,-0.481,20
,,,,,,,,,,,,,,,-0.48,0
,,,,,,,,,,,,,,,-0.479,0
,,,,,,,,,,,,,,,-0.478,20
,,,,,,,,,,,,,,,-0.477,0
,,,,,,,,,,,,,,,-0.476,20
,,,,,,,,,,,,,,,-0.475,20
,,,,,,,,,,,,,,,-0.474,0
,,,,,,,,,,,,,,,-0.473,0
,,,,,,,,,,,,,,,-0.472,20
,,,,,,,,,,,,,,,-0.471,0
,,,,,,,,,,,,,,,-0.47,20
,,,,,,,,,,,,,,,-0.469,20
,,,,,,,,,,,,,,,-0.468,0
,,,,,,,,,,,,,,,-0.467,20
,,,,,,,,,,,,,,,-0.466,20
,,,,,,,,,,,,,,,-0.465,0
,,,,,,,,,,,,,,,-0.464,20
,,,,,,,,,,,,,,,-0.463,0
,,,,,,,,,,,,,,,-0.462,0
,,,,,,,,,,,,,,,-0.461,20
,,,,,,,,,,,,,,,-0.46,0
,,,,,,,,,,,,,,,-0.459,0
,,,,,,,,,,,,,,,-0.458,20
,,,,,,,,,,,,,,,-0.457,0
,,,,,,,,,,,,,,,-0.456,0
,,,,,,,,,,,,,,,-0.455,0
,,,,,,,,,,,,,,,-0.454,20
,,,,,,,,,,,,,,,-0.453,20
,,,,,,,,,,,,,,,-0.452,20
,,,,,,,,,,,,,,,-0.451,20
,,,,,,,,,,,,,,,-0.45,20
,,,,,,,,,,,,,,,-0.449,0
,,,,,,,,,,,,,,,-0.448,0
,,,,,,,,,,,,,,,-0.447,20
,,,,,,,,,,,,,,,-0.446,20
,,,,,,,,,,,,,,,-0.445,0
,,,,,,,,,,,,,,,-0.444,20
,,,,,,,,,,,,,,,-0.443,20
,,,,,,,,,,,,,,,-0.442,0
,,,,,,,,,,,,,,,-0.441,0
,,,,,,,,,,,,,,,-0.44,20
,,,,,,,,,,,,,,,-0.439,20
,,,,,,,,,,,,,,,-0.438,20
,,,,,,,,,,,,,,,-0.437,20
,,,,,,,,,,,,,,,-0.436,0
,,,,,,,,,,,,,,,-0.435,20
,,,,,,,,,,,,,,,-0.434,20
