Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
,,,,,,,,,,,,,,,-0.379,0
,,,,,,,,,,,,,,,-0.378,-0.04
,,,,,,,,,,,,,,,-0.377,0
,,,,,,,,,,,,,,,-0.376,-0.04
,,,,,,,,,,,,,,,-0.375,0
,,,,,,,,,,,,,,,-0.374,0
,,,,,,,,,,,,,,,-0.373,0
,,,,,,,,,,,,,,,-0.372,-0.04
,,,,,,,,,,,,,,,-0.371,0
,,,,,,,,,,,,,,,-0.37,-0.04
,,,,,,,,,,,,,,,-0.369,0
,,,,,,,,,,,,,,,-0.368,-0.04
,,,,,,,,,,,,,,,-0.367,-0.04
,,,,,,,,,,,,,,,-0.366,0
,,,,,,,,,,,,,,,-0.365,-0.04
,,,,,,,,,,,,,,,-0.364,-0.04
,,,,,,,,,,,,,,,-0.363,0
,,,,,,,,,,,,,,,-0.362,-0.04
,,,,,,,,,,,,,,,-0.361,0
,,,,,,,,,,,,,,,-0.36,0
,,,,,,,,,,,,,,,-0.359,0
,,,,,,,,,,,,,,,-0.358,0
,,,,,,,,,,,,,,,-0.357,0
,,,,,,,,,,,,,,,-0.356,0
,,,,,,,,,,,,,,,-0.355,0
,,,,,,,,,,,,,,,-0.354,0
,,,,,,,,,,,,,,,-0.353,0
,,,,,,,,,,,,,,,-0.352,0
,,,,,,,,,,,,,,,-0.351,0
,,,,,,,,,,,,,,,-0.35,0
,,,,,,,,,,,,,,,-0.349,0
,,,,,,,,,,,,,,,-0.348,-0.04
,,,,,,,,,,,,,,,-0.347,-0.04
,,,,,,,,,,,,,,,-0.346,0
,,,,,,,,,,,,,,,-0.345,0
,,,,,,,,,,,,,,,-0.344,-0.04
,,,,,,,,,,,,,,,-0.343,-0.04
,,,,,,,,,,,,,,,-0.342,-0.04
,,,,,,,,,,,,,,,-0.341,-0.04
,,,,,,,,,,,,,,,-0.34,-0.04
,,,,,,,,,,,,,,,-0.339,0
,,,,,,,,,,,,,,,-0.338,0
,,,,,,,,,,,,,,,-0.337,-0.04
,,,,,,,,,,,,,,,-0.336,-0.04
,,,,,,,,,,,,,,,-0.335,-0.04
,,,,,,,,,,,,,,,-0.334,0
,,,,,,,,,,,,,,,-0.333,-0.04
,,,,,,,,,,,,,,,-0.332,0
,,,,,,,,,,,,,,,-0.331,-0.04
,,,,,,,,,,,,,,,-0.33,0
,,,,,,,,,,,,,,,-0.329,0
,,,,,,,,,,,,,,,-0.328,-0.04
,,,,,,,,,,,,,,,-0.327,0
,,,,,,,,,,,,,,,-0.326,-0.04
,,,,,,,,,,,,,,,-0.325,-0.04
,,,,,,,,,,,,,,,-0.324,-0.04
,,,,,,,,,,,,,,,-0.323,0
,,,,,,,,,,,,,,,-0.322,0
,,,,,,,,,,,,,,,-0.321,0
,,,,,,,,,,,,,,,-0.32,0
,,,,,,,,,,,,,,,-0.319,0
,,,,,,,,,,,,,,,-0.318,0
,,,,,,,,,,,,,,,-0.317,-0.04
,,,,,,,,,,,,,,,-0.316,-0.04
,,,,,,,,,,,,,,,-0.315,-0.04
,,,,,,,,,,,,,,,-0.314,0
,,,,,,,,,,,,,,,-0.313,0
,,,,,,,,,,,,,,,-0.312,0
,,,,,,,,,,,,,,,-0.311,-0.04
,,,,,,,,,,,,,,,-0.31,-0.04
,,,,,,,,,,,,,,,-0.309,0
,,,,,,,,,,,,,,,-0.308,0
,,,,,,,,,,,,,,,-0.307,-0.04
,,,,,,,,,,,,,,,-0.306,0
,,,,,,,,,,,,,,,-0.305,-0.04
,,,,,,,,,,,,,,,-0.304,-0.04
,,,,,,,,,,,,,,,-0.303,0
,,,,,,,,,,,,,,,-0.302,-0.04
,,,,,,,,,,,,,,,-0.301,0
,,,,,,,,,,,,,,,-0.3,0
,,,,,,,,,,,,,,,-0.299,-0.04
,,,,,,,,,,,,,,,-0.298,0
,,,,,,,,,,,,,,,-0.297,0
,,,,,,,,,,,,,,,-0.296,-0.04
,,,,,,,,,,,,,,,-0.295,0
,,,,,,,,,,,,,,,-0.294,-0.04
,,,,,,,,,,,,,,,-0.293,0
,,,,,,,,,,,,,,,-0.292,0
,,,,,,,,,,,,,,,-0.291,0
,,,,,,,,,,,,,,,-0.29,-0.04
,,,,,,,,,,,,,,,-0.289,0
,,,,,,,,,,,,,,,-0.288,0
,,,,,,,,,,,,,,,-0.287,0
,,,,,,,,,,,,,,,-0.286,-0.04
,,,,,,,,,,,,,,,-0.285,0
,,,,,,,,,,,,,,,-0.284,0
,,,,,,,,,,,,,,,-0.283,-0.04
,,,,,,,,,,,,,,,-0.282,0
,,,,,,,,,,,,,,,-0.281,0
,,,,,,,,,,,,,,,-0.28,0
,,,,,,,,,,,,,,,-0.279,0
,,,,,,,,,,,,,,,-0.278,0
,,,,,,,,,,,,,,,-0.277,0
,,,,,,,,,,,,,,,-0.276,-0.04
,,,,,,,,,,,,,,,-0.275,0
,,,,,,,,,,,,,,,-0.274,0
,,,,,,,,,,,,,,,-0.273,-0.04
,,,,,,,,,,,,,,,-0.272,0
,,,,,,,,,,,,,,,-0.271,-0.04
,,,,,,,,,,,,,,,-0.27,0
,,,,,,,,,,,,,,,-0.269,0
,,,,,,,,,,,,,,,-0.268,0
,,,,,,,,,,,,,,,-0.267,0
,,,,,,,,,,,,,,,-0.266,0
,,,,,,,,,,,,,,,-0.265,0
,,,,,,,,,,,,,,,-0.264,0
,,,,,,,,,,,,,,,-0.263,-0.04
,,,,,,,,,,,,,,,-0.262,0
,,,,,,,,,,,,,,,-0.261,0
,,,,,,,,,,,,,,,-0.26,0
,,,,,,,,,,,,,,,-0.259,0
,,,,,,,,,,,,,,,-0.258,-0.04
,,,,,,,,,,,,,,,-0.257,-0.04
,,,,,,,,,,,,,,,-0.256,0
,,,,,,,,,,,,,,,-0.255,-0.04
,,,,,,,,,,,,,,,-0.254,-0.04
,,,,,,,,,,,,,,,-0.253,-0.04
,,,,,,,,,,,,,,,-0.252,0
,,,,,,,,,,,,,,,-0.251,0
,,,,,,,,,,,,,,,-0.25,0
,,,,,,,,,,,,,,,-0.249,-0.04
,,,,,,,,,,,,,,,-0.248,0
,,,,,,,,,,,,,,,-0.247,-0.04
,,,,,,,,,,,,,,,-0.246,-0.04
,,,,,,,,,,,,,,,-0.245,0
,,,,,,,,,,,,,,,-0.244,0
,,,,,,,,,,,,,,,-0.243,0
,,,,,,,,,,,,,,,-0.242,-0.04
,,,,,,,,,,,,,,,-0.241,-0.04
,,,,,,,,,,,,,,,-0.24,0
,,,,,,,,,,,,,,,-0.239,0
,,,,,,,,,,,,,,,-0.238,0
,,,,,,,,,,,,,,,-0.237,0
,,,,,,,,,,,,,,,-0.236,0
,,,,,,,,,,,,,,,-0.235,0
,,,,,,,,,,,,,,,-0.234,0
,,,,,,,,,,,,,,,-0.233,0
,,,,,,,,,,,,,,,-0.232,-0.04
,,,,,,,,,,,,,,,-0.231,0
,,,,,,,,,,,,,,,-0.23,0
,,,,,,,,,,,,,,,-0.229,-0.04
