Power,Mirror,Card,I
51.8,2,1,13.2
53.0,2,2,13.5
55.0,5,3,14.0
56.0,58,59,14.3
56.9,105,110,14.5
58.0,163,164,14.8
59.0,237,240,15.0
60.0,310,311,15.3
61.0,390,389,15.5
62.0,485,487,15.8
63.0,583,580,16.0
64.0,680,681,16.3
65.0,780,785,16.6
66.0,884,885,16.8
67.0,972,970,17.1
67.6,1012,1010,17.2
68.0,1052,1055,17.3
68.3,1060,1061,17.4
