V,I
-0.134,-1
-0.120,-0.9
-0.106,-0.8
-0.093,-0.7
-0.079,-0.6
-0.065,-0.5
-0.051,-0.4
-0.038,-0.3
-0.024,-0.2
-0.010,-0.1
-0.002,0.0
0.017,0.1
0.030,0.2
0.045,0.3
0.058,0.4
0.072,0.5
0.086,0.6
0.100,0.7
0.114,0.8
0.128,0.9
0.142,1.0
